open,symbol,low,price,high,percentchange,relvolume,watchers,hourchange,sentiment
129.91,JPM,129.41,130.16,131.44,-0.1151,0.5897,82515,0,3.34
275.09,NVDA,273.36,279.65,280.0,0.6768,0.736,420845,5,1.04
6.14,SOFI,5.94,6.03,6.275,-0.659,0.8172,91844,0,-1.21
90.41,SONY,90.41,91.33,91.38,0.7501,1.0137,2088,0,0.0
4.99,AMC,4.94,5.11,5.145,1.996,0.4861,412536,36,0.45
32.94,INTC,32.54,32.89,33.56,0.6734,1.0724,131144,2,0.27
286.52,MSFT,283.95,287.23,288.27,-0.3711,0.6614,442830,1,-0.02
199.91,TSLA,192.2,194.77,202.6897,-6.1168,0.9487,890355,10,-1.07
130.97,IBM,130.77,132.06,132.61,0.7399,0.5014,51354,0,2.17
208.84,META,208.2001,213.07,213.4861,0.5332,0.5014,512460,2,1.58
120.14,EA,119.6,121.35,121.65,0.7472,0.5851,20708,0,8.33
463.3,NOC,462.65,469.19,471.55,1.6179,0.4395,8034,3,0.0
164.27,AAPL,164.27,166.17,166.29,0.7702,0.6998,877083,4,1.52
213.98,ENPH,201.6293,202.6,215.8856,-3.6523,0.7684,37373,1,1.41
9.64,CVNA,9.085,9.29,10.16,-5.1073,0.4915,23358,-1,-0.11
102.3,AMZN,101.43,102.41,103.29,-0.852,0.5293,587686,4,0.96
102.39,GOOGL,102.11,104.36,104.53,0.6073,0.5137,160017,5,2.03
96.695,AMD,94.81,96.56,96.79,-1.4794,0.7543,456503,-4,-1.06
