low,percentchange,symbol,open,relvolume,high,price,watchers,hourchange,sentiment
28.63,0.377,INTC,29.075,0.6633,29.33,29.29,130892,2,-2.02
99.7401,-1.3957,GOOGL,102.44,0.707,102.4,101.03,159816,3,-4.52
7.22,-3.4121,CVNA,7.57,0.235,7.72,7.36,23379,0,-0.15
190.624,-1.1796,ENPH,196.0,0.3801,196.515,193.52,37300,0,-2.54
128.8,0.0232,IBM,129.18,0.4651,129.66,129.34,51347,0,1.27
155.98,-0.398,AAPL,157.97,0.5555,158.1277,157.65,876656,-1,-2.44
272.05,-0.4161,MSFT,275.79,0.5713,276.13,275.23,442493,2,-1.84
92.87,-2.1219,AMD,96.77,0.907,96.93,94.56,456320,1,-0.45
197.9,-1.0649,META,200.15,0.535,201.03,200.68,512233,0,-4.0
127.75,0.3035,JPM,128.71,0.7437,129.3417,128.88,82452,2,-5.42
258.5,-0.4561,NVDA,264.47,0.6755,265.13,264.1,420435,5,-1.23
457.59,0.1637,NOC,458.31,0.3387,461.5,459.0,8020,0,3.57
185.43,-1.3659,TSLA,192.0,0.5363,192.35,189.19,889592,4,-3.14
117.38,-0.5226,EA,118.085,0.5197,118.4425,118.02,20713,0,4.44
85.74,-0.9464,SONY,86.11,0.8063,86.6682,85.82,2081,0,0.0
5.51,-2.9514,SOFI,5.74,0.5751,5.79,5.59,91757,2,-0.37
4.46,13.1868,AMC,4.51,2.4732,5.5,5.15,412366,23,0.8
96.29,-0.816,AMZN,98.11,0.4953,98.44,97.24,587298,6,-0.62
