open,price,symbol,low,relvolume,percentchange,high,watchers,hourchange,sentiment
139.91,140.81,JPM,140.17,0.5739,-0.2903,141.4299,82976,0,-0.74
478.4,474.18,NOC,472.07,0.4428,-0.6058,478.4,8041,-1,5.84
285.25,286.11,MSFT,285.08,0.5981,-0.8112,289.03,443694,3,-2.92
130.15,126.36,IBM,125.84,1.7117,0.0317,130.98,51481,-6,4.32
166.09,166.65,AAPL,165.56,0.6838,-0.5846,167.87,878278,-1,-2.57
213.48,213.07,META,212.77,0.4419,-1.2193,216.75,512991,4,-3.16
103.53,103.81,AMZN,103.21,0.7877,-0.4698,105.24,588828,4,-1.92
220.5,224.79,ENPH,219.31,0.5575,0.2319,226.26,37478,0,1.77
128.28,128.8,EA,128.15,0.4949,0.4837,129.56,20703,0,0.0
30.76,30.86,INTC,30.71,0.5128,-0.931,31.25,131291,-2,-0.61
88.825,90.11,AMD,88.75,0.7047,0.189,91.575,456932,1,-1.38
8.3,8.0,CVNA,7.91,0.3562,-7.3001,8.51,23279,0,-5.63
5.0,4.97,AMC,4.89,0.2431,-2.549,5.02,413189,-1,0.82
103.91,105.29,GOOGL,103.8684,0.5805,1.0655,106.25,160586,4,-1.32
276.71,271.04,NVDA,270.0,0.791,-2.9609,280.3,422006,7,1.35
90.97,91.38,SONY,90.915,0.7099,0.4507,92.275,2090,0,0.0
5.98,5.92,SOFI,5.88,0.5018,-2.6316,6.045,91960,0,0.16
166.165,162.99,TSLA,160.56,1.261,-9.7458,169.55,892479,41,-9.18
