open,percentchange,relvolume,price,low,symbol,high,watchers,hourchange,sentiment
104.615,-2.8263,0.6543,102.46,101.9273,GOOGL,104.76,159787,0,-0.63
29.37,-0.6131,0.6526,29.18,29.08,INTC,29.73,130887,2,1.05
268.37,-0.9261,0.6791,265.31,263.6501,NVDA,269.94,420362,-3,-0.78
280.5,-1.4934,0.6882,276.38,275.52,MSFT,281.4589,442425,0,0.39
5.82,0.3484,0.5937,5.76,5.73,SOFI,5.88,91735,0,0.16
98.02,-1.368,0.8904,96.61,95.425,AMD,98.93,456276,4,-2.21
126.47,3.2086,1.0705,129.31,126.47,IBM,130.255,51336,0,3.72
87.12,-1.0168,1.0594,86.64,86.33,SONY,87.38,2080,0,0.0
204.81,-1.5388,0.4942,202.84,201.37,META,205.86,512179,0,-0.25
99.07,-0.0917,0.5885,98.04,97.08,AMZN,99.335,587197,2,-0.53
126.79,2.8661,1.2406,128.49,126.29,JPM,129.38,82432,2,-2.07
459.09,0.659,0.3979,458.25,455.23,NOC,459.96,8013,0,0.0
159.94,-1.2293,0.6029,158.28,157.87,AAPL,160.77,876584,-5,-0.33
8.35,-6.9597,0.2612,7.62,7.57,CVNA,8.445,23419,0,-0.54
4.51,1.7897,0.5515,4.55,4.3,AMC,4.58,411963,-3,-0.26
199.36,-0.0816,0.5969,195.83,191.61,ENPH,200.21,37292,-1,0.25
194.415,0.7353,0.6504,191.81,189.94,TSLA,197.39,889474,5,-0.67
118.9,-0.3276,0.6373,118.64,118.14,EA,119.4,20717,0,-5.45
