percentchange,low,relvolume,price,symbol,open,high,watchers,hourchange,sentiment
0.4837,128.15,0.4949,128.8,EA,128.28,129.56,20704,0,0.0
-0.6058,472.07,0.4428,474.18,NOC,478.4,478.4,8041,0,8.57
-0.5846,165.56,0.6838,166.65,AAPL,166.09,167.87,878285,1,-2.83
0.0317,125.84,1.7117,126.36,IBM,130.15,130.98,51476,-2,4.14
-1.2193,212.77,0.4419,213.07,META,213.48,216.75,513000,0,-2.5
0.2319,219.31,0.5575,224.79,ENPH,220.5,226.26,37479,0,1.54
-0.4698,103.21,0.7877,103.81,AMZN,103.53,105.24,588848,10,-1.3
-0.931,30.71,0.5128,30.86,INTC,30.76,31.25,131291,-2,-2.63
-7.3001,7.91,0.3562,8.0,CVNA,8.3,8.51,23278,0,-7.97
0.189,88.75,0.7047,90.11,AMD,88.825,91.575,456931,2,-0.41
-2.549,4.89,0.2431,4.97,AMC,5.0,5.02,413196,1,0.1
-2.9609,270.0,0.791,271.04,NVDA,276.71,280.3,422014,1,1.57
0.4507,90.915,0.7099,91.38,SONY,90.97,92.275,2090,0,0.0
1.0655,103.8684,0.5805,105.29,GOOGL,103.91,106.25,160588,0,-0.82
-2.6316,5.88,0.5018,5.92,SOFI,5.98,6.045,91966,0,-0.21
-9.7458,160.56,1.261,162.99,TSLA,166.165,169.55,892550,21,-6.2
-0.2903,140.17,0.5739,140.81,JPM,139.91,141.4299,82975,0,-1.35
-0.8112,285.08,0.5981,286.11,MSFT,285.25,289.03,443702,0,-2.88
