percentchange,price,symbol,relvolume,open,low,high,watchers,hourchange,sentiment
0.4837,128.8,EA,0.4949,128.28,128.15,129.56,20704,0,0.0
-0.6058,474.18,NOC,0.4428,478.4,472.07,478.4,8041,0,8.57
-0.5846,166.65,AAPL,0.6838,166.09,165.56,167.87,878285,1,-2.83
0.0317,126.36,IBM,1.7117,130.15,125.84,130.98,51476,-2,4.14
-1.2193,213.07,META,0.4419,213.48,212.77,216.75,513000,0,-2.5
0.2319,224.79,ENPH,0.5575,220.5,219.31,226.26,37479,0,1.54
-0.4698,103.81,AMZN,0.7877,103.53,103.21,105.24,588848,10,-1.3
-0.931,30.86,INTC,0.5128,30.76,30.71,31.25,131291,-2,-2.63
-7.3001,8.0,CVNA,0.3562,8.3,7.91,8.51,23278,0,-7.97
0.189,90.11,AMD,0.7047,88.825,88.75,91.575,456931,2,-0.41
-2.549,4.97,AMC,0.2431,5.0,4.89,5.02,413196,1,0.1
-2.9609,271.04,NVDA,0.791,276.71,270.0,280.3,422014,1,1.57
0.4507,91.38,SONY,0.7099,90.97,90.915,92.275,2090,0,0.0
1.0655,105.29,GOOGL,0.5805,103.91,103.8684,106.25,160588,0,-0.82
-2.6316,5.92,SOFI,0.5018,5.98,5.88,6.045,91966,0,-0.21
-9.7458,162.99,TSLA,1.261,166.165,160.56,169.55,892550,21,-6.2
-0.2903,140.81,JPM,0.5739,139.91,140.17,141.4299,82975,0,-1.35
-0.8112,286.11,MSFT,0.5981,285.25,285.08,289.03,443702,0,-2.88
