open,high,symbol,low,price,relvolume,percentchange,watchers,hourchange,sentiment
113.79,116.6,EA,113.665,116.04,0.8094,2.5451,20718,-2,10.0
277.94,281.05,MSFT,275.2,277.66,0.9851,1.9722,442175,4,-2.81
100.05,102.43,AMD,98.675,100.28,1.3328,2.767,456158,5,-3.56
5.65,5.88,SOFI,5.57,5.78,0.908,3.9568,91693,4,0.85
123.81,124.93,IBM,122.6,123.37,0.7541,-0.5482,51330,1,-12.48
271.155,274.99,NVDA,266.9018,271.91,1.0834,2.7316,420058,6,-1.46
127.9,129.53,JPM,126.02,126.84,1.1679,-0.2673,82306,-4,-1.24
207.2,214.85,ENPH,201.875,204.66,0.7403,1.2417,37262,0,1.03
158.83,161.55,AAPL,157.68,158.93,0.8239,0.697,876310,1,-3.25
8.63,9.47,CVNA,7.87,8.35,0.672,-0.949,23438,-2,0.07
202.84,207.88,META,202.155,204.28,0.7536,2.2371,511942,2,-3.15
100.43,101.06,AMZN,97.62,98.71,0.7327,0.0101,587011,0,-3.43
444.01,446.06,NOC,440.81,444.44,0.8075,0.1894,8010,0,0.0
88.32,89.415,SONY,87.702,88.27,1.1967,0.9492,2080,0,0.0
105.06,106.3,GOOGL,104.46,105.6,0.901,2.1573,159705,5,-6.07
195.26,199.31,TSLA,188.65,192.22,0.7694,0.5598,889229,8,-3.98
28.38,29.16,INTC,28.22,29.03,0.8506,3.1994,130859,-3,-10.24
4.44,4.68,AMC,4.34,4.47,0.5333,2.9954,411932,5,-0.29
