percentchange,price,symbol,low,high,relvolume,open,watchers,hourchange,sentiment
0.1603,449.98,NOC,447.07,454.66,0.472,453.79,8008,-1,-10.0
1.1544,261.99,NVDA,253.82,263.91,1.0443,261.8,419580,3,1.05
7.8199,197.58,TSLA,188.04,197.99,0.8096,188.28,888999,4,-0.66
3.2787,4.41,AMC,4.2115,4.4458,0.4458,4.33,411833,16,3.2
3.6554,104.92,GOOGL,101.22,105.0996,0.949,101.25,159627,-1,-2.13
12.1641,7.93,CVNA,7.18,8.09,0.3545,7.19,23280,-1,1.75
1.0744,89.37,SONY,88.71,89.7,0.8793,89.08,2081,0,0.0
2.968,100.61,AMZN,98.0,100.84,0.7329,98.14,586872,-1,1.36
-2.4005,28.46,INTC,27.975,29.165,1.1245,29.0,130853,0,-0.52
2.1991,202.16,META,197.96,203.515,0.9155,203.2,511818,-2,1.57
0.5694,273.78,MSFT,269.53,274.95,0.8582,274.88,442020,-1,1.01
6.705,5.57,SOFI,5.3243,5.6,0.733,5.35,91602,3,0.66
7.8541,207.63,ENPH,195.44,209.33,1.1827,196.93,37227,2,2.31
2.6821,130.55,JPM,130.19,131.73,1.1569,130.59,82256,0,-0.31
-0.909,95.93,AMD,93.64,99.46,1.4062,97.0,455986,1,-2.15
1.1944,159.28,AAPL,156.54,159.4,0.8214,157.32,876159,5,2.07
1.2509,114.94,EA,113.11,115.15,0.7754,113.11,20727,0,-8.33
0.5002,126.57,IBM,125.66,127.15,0.5415,126.9,51325,0,5.69
