price,percentchange,high,low,relvolume,open,symbol,watchers,hourchange,sentiment
128.8,0.4837,129.56,128.15,0.4949,128.28,EA,20704,0,0.0
474.18,-0.6058,478.4,472.07,0.4428,478.4,NOC,8041,0,8.57
166.65,-0.5846,167.87,165.56,0.6838,166.09,AAPL,878285,1,-2.83
126.36,0.0317,130.98,125.84,1.7117,130.15,IBM,51476,-2,4.14
213.07,-1.2193,216.75,212.77,0.4419,213.48,META,513000,0,-2.5
224.79,0.2319,226.26,219.31,0.5575,220.5,ENPH,37479,0,1.54
103.81,-0.4698,105.24,103.21,0.7877,103.53,AMZN,588848,10,-1.3
30.86,-0.931,31.25,30.71,0.5128,30.76,INTC,131291,-2,-2.63
8.0,-7.3001,8.51,7.91,0.3562,8.3,CVNA,23278,0,-7.97
90.11,0.189,91.575,88.75,0.7047,88.825,AMD,456931,2,-0.41
4.97,-2.549,5.02,4.89,0.2431,5.0,AMC,413196,1,0.1
271.04,-2.9609,280.3,270.0,0.791,276.71,NVDA,422014,1,1.57
91.38,0.4507,92.275,90.915,0.7099,90.97,SONY,2090,0,0.0
105.29,1.0655,106.25,103.8684,0.5805,103.91,GOOGL,160588,0,-0.82
5.92,-2.6316,6.045,5.88,0.5018,5.98,SOFI,91966,0,-0.21
162.99,-9.7458,169.55,160.56,1.261,166.165,TSLA,892550,21,-6.2
140.81,-0.2903,141.4299,140.17,0.5739,139.91,JPM,82975,0,-1.35
286.11,-0.8112,289.03,285.08,0.5981,285.25,MSFT,443702,0,-2.88
