relvolume,price,high,low,percentchange,open,symbol,watchers,hourchange,sentiment
0.3562,8.0,8.51,7.91,-7.3001,8.3,CVNA,23279,0,-6.7
0.7047,90.11,91.575,88.75,0.189,88.825,AMD,456925,-7,-1.38
0.2431,4.97,5.02,4.89,-2.549,5.0,AMC,413195,6,0.68
0.791,271.04,280.3,270.0,-2.9609,276.71,NVDA,422009,3,1.54
0.5805,105.29,106.25,103.8684,1.0655,103.91,GOOGL,160590,4,-0.89
0.7099,91.38,92.275,90.915,0.4507,90.97,SONY,2090,0,0.0
0.5018,5.92,6.045,5.88,-2.6316,5.98,SOFI,91963,3,-0.18
1.261,162.99,169.55,160.56,-9.7458,166.165,TSLA,892487,8,-6.91
0.5739,140.81,141.4299,140.17,-0.2903,139.91,JPM,82975,-1,-1.1
0.4428,474.18,478.4,472.07,-0.6058,478.4,NOC,8041,0,8.57
0.5981,286.11,289.03,285.08,-0.8112,285.25,MSFT,443701,7,-2.36
0.6838,166.65,167.87,165.56,-0.5846,166.09,AAPL,878278,0,-2.72
1.7117,126.36,130.98,125.84,0.0317,130.15,IBM,51479,-2,4.36
0.4419,213.07,216.75,212.77,-1.2193,213.48,META,512995,4,-2.62
0.4949,128.8,129.56,128.15,0.4837,128.28,EA,20703,0,0.0
0.5575,224.79,226.26,219.31,0.2319,220.5,ENPH,37479,1,1.5
0.5128,30.86,31.25,30.71,-0.931,30.76,INTC,131293,2,-2.09
0.7877,103.81,105.24,103.21,-0.4698,103.53,AMZN,588835,7,-1.61
