open,high,symbol,low,price,relvolume,percentchange,watchers,hourchange,sentiment
102.39,104.53,GOOGL,102.11,104.36,0.5137,0.6073,160017,5,2.03
96.695,96.79,AMD,94.81,96.56,0.7543,-1.4794,456503,-4,-1.06
129.91,131.44,JPM,129.41,130.16,0.5897,-0.1151,82515,0,3.34
275.09,280.0,NVDA,273.36,279.65,0.736,0.6768,420845,5,1.04
6.14,6.275,SOFI,5.94,6.03,0.8172,-0.659,91844,0,-1.21
90.41,91.38,SONY,90.41,91.33,1.0137,0.7501,2088,0,0.0
4.99,5.145,AMC,4.94,5.11,0.4861,1.996,412536,36,0.45
32.94,33.56,INTC,32.54,32.89,1.0724,0.6734,131144,2,0.27
286.52,288.27,MSFT,283.95,287.23,0.6614,-0.3711,442830,1,-0.02
130.97,132.61,IBM,130.77,132.06,0.5014,0.7399,51354,0,2.17
463.3,471.55,NOC,462.65,469.19,0.4395,1.6179,8034,3,0.0
199.91,202.6897,TSLA,192.2,194.77,0.9487,-6.1168,890355,10,-1.07
208.84,213.4861,META,208.2001,213.07,0.5014,0.5332,512460,2,1.58
120.14,121.65,EA,119.6,121.35,0.5851,0.7472,20708,0,8.33
213.98,215.8856,ENPH,201.6293,202.6,0.7684,-3.6523,37373,1,1.41
164.27,166.29,AAPL,164.27,166.17,0.6998,0.7702,877083,4,1.52
9.64,10.16,CVNA,9.085,9.29,0.4915,-5.1073,23358,-1,-0.11
102.3,103.29,AMZN,101.43,102.41,0.5293,-0.852,587686,4,0.96
