symbol,high,percentchange,relvolume,open,price,low,watchers,hourchange,sentiment
MSFT,288.27,-0.3711,0.6614,286.52,287.23,283.95,442830,2,-0.39
IBM,132.61,0.7399,0.5014,130.97,132.06,130.77,51352,1,2.17
META,213.4861,0.5332,0.5014,208.84,213.07,208.2001,512449,2,0.42
NOC,471.55,1.6179,0.4395,463.3,469.19,462.72,8031,0,0.0
TSLA,202.6897,-6.1168,0.9487,199.91,194.77,192.2,890336,17,-1.66
EA,121.65,0.7472,0.5851,120.14,121.35,119.6,20708,0,0.0
AAPL,166.29,0.7702,0.6998,164.27,166.17,164.27,877071,1,0.79
CVNA,10.16,-5.1073,0.4915,9.64,9.29,9.085,23359,-2,0.64
ENPH,215.8856,-3.6523,0.7684,213.98,202.6,201.6293,37370,1,1.69
AMD,96.79,-1.4794,0.7543,96.695,96.56,94.81,456507,2,-1.42
GOOGL,104.53,0.6073,0.5137,102.39,104.36,102.11,160010,1,1.72
AMZN,103.29,-0.852,0.5293,102.3,102.41,101.43,587676,1,0.9
JPM,131.43,-0.1151,0.5897,129.91,130.16,129.41,82515,4,3.75
NVDA,280.0,0.6768,0.736,275.09,279.65,273.36,420832,11,0.99
SOFI,6.275,-0.659,0.8172,6.14,6.03,5.94,91845,-1,-1.16
SONY,91.38,0.7501,1.0137,90.41,91.33,90.455,2088,-1,0.0
AMC,5.145,1.996,0.4861,4.99,5.11,4.94,412504,1,0.38
INTC,33.56,0.6734,1.0724,32.94,32.89,32.54,131141,1,0.09
