percentchange,open,relvolume,symbol,price,low,high,watchers,hourchange,sentiment
6.6092,5.35,0.733,SOFI,5.565,5.3243,5.6,91593,4,-0.27
-1.002,97.0,1.4062,AMD,95.84,93.64,99.46,455984,-3,-1.43
0.1113,453.79,0.472,NOC,449.76,447.07,454.66,8009,0,0.0
1.1563,157.32,0.8214,AAPL,159.22,156.54,159.38,876120,6,1.85
2.6034,130.59,1.1569,JPM,130.45,130.19,131.73,82252,0,-0.12
0.4685,126.9,0.5415,IBM,126.53,125.66,127.08,51324,0,4.9
1.0792,261.8,1.0443,NVDA,261.795,253.82,263.91,419540,9,0.06
1.1716,113.11,0.7754,EA,114.85,113.11,115.15,20730,-1,-8.33
7.7653,188.28,0.8096,TSLA,197.48,188.04,197.99,888963,14,-0.61
3.5566,101.25,0.949,GOOGL,104.82,101.22,105.0996,159617,6,-1.7
3.0445,4.33,0.4458,AMC,4.4,4.2115,4.445,411743,2,0.98
2.8349,98.14,0.7329,AMZN,100.48,98.0,100.84,586861,10,1.33
12.0934,7.19,0.3545,CVNA,7.925,7.18,8.09,23283,1,-0.67
-2.5206,29.0,1.1245,INTC,28.425,27.975,29.165,130844,-3,-0.14
1.0631,89.08,0.8793,SONY,89.36,88.71,89.7,2079,0,0.0
7.7399,196.93,1.1827,ENPH,207.41,195.44,209.33,37220,4,3.22
0.4335,274.88,0.8582,MSFT,273.41,269.53,274.95,441998,3,0.61
2.0783,203.2,0.9155,META,201.9211,197.96,203.515,511808,5,1.45
