symbol,open,low,high,price,percentchange,relvolume,watchers,hourchange,sentiment
NOC,453.79,447.07,454.66,449.98,0.1603,0.472,8009,0,-9.09
NVDA,261.8,253.82,263.91,261.99,1.1544,1.0443,419575,5,0.94
TSLA,188.28,188.04,197.99,197.58,7.8199,0.8096,888995,1,-0.81
AMC,4.33,4.2115,4.4458,4.41,3.2787,0.4458,411807,13,2.6
GOOGL,101.25,101.22,105.0996,104.92,3.6554,0.949,159625,0,-2.0
CVNA,7.19,7.18,8.09,7.93,12.1641,0.3545,23281,-1,1.19
SONY,89.08,88.71,89.7,89.37,1.0744,0.8793,2080,0,0.0
AMZN,98.14,98.0,100.84,100.61,2.968,0.7329,586873,2,1.26
INTC,29.0,27.975,29.165,28.46,-2.4005,1.1245,130853,2,0.57
META,203.2,197.96,203.515,202.16,2.1991,0.9155,511818,0,1.52
MSFT,274.88,269.53,274.95,273.78,0.5694,0.8582,442021,4,0.61
SOFI,5.35,5.3243,5.6,5.57,6.705,0.733,91600,0,0.47
ENPH,196.93,195.44,209.33,207.63,7.8541,1.1827,37227,0,2.54
JPM,130.59,130.19,131.73,130.55,2.6821,1.1569,82255,0,-0.33
AMD,97.0,93.64,99.46,95.93,-0.909,1.4062,455985,0,-2.1
AAPL,157.32,156.54,159.4,159.28,1.1944,0.8214,876154,1,1.89
EA,113.11,113.11,115.15,114.94,1.2509,0.7754,20730,0,-8.33
IBM,126.9,125.66,127.15,126.57,0.5002,0.5415,51324,0,6.41
