symbol,low,price,relvolume,high,percentchange,open,watchers,hourchange,sentiment
AMD,93.64,95.93,1.4062,99.46,-0.909,97.0,455987,0,-1.56
NVDA,253.82,261.99,1.0443,263.91,1.1544,261.8,419561,12,0.87
IBM,125.66,126.57,0.5415,127.08,0.5002,126.9,51324,0,6.41
JPM,130.19,130.55,1.1569,131.73,2.6821,130.59,82252,-1,-0.12
EA,113.11,114.94,0.7754,115.15,1.2509,113.11,20730,0,-8.33
TSLA,188.04,197.58,0.8096,197.99,7.8199,188.28,888982,5,-1.09
GOOGL,101.22,104.92,0.949,105.0996,3.6554,101.25,159624,3,-2.08
AMC,4.2115,4.41,0.4458,4.4458,3.2787,4.33,411759,14,1.33
AMZN,98.0,100.61,0.7329,100.84,2.968,98.14,586865,0,1.07
CVNA,7.18,7.93,0.3545,8.09,12.1641,7.19,23284,0,0.18
SONY,88.71,89.37,0.8793,89.7,1.0744,89.08,2080,1,0.0
INTC,27.975,28.46,1.1245,29.165,-2.4005,29.0,130849,4,0.57
ENPH,195.44,207.63,1.1827,209.33,7.8541,196.93,37226,2,2.89
META,197.96,202.16,0.9155,203.515,2.1991,203.2,511811,2,1.84
SOFI,5.3243,5.57,0.733,5.6,6.705,5.35,91599,4,0.53
MSFT,269.53,273.78,0.8582,274.95,0.5694,274.88,442011,5,0.47
AAPL,156.54,159.28,0.8214,159.4,1.1944,157.32,876138,9,1.81
NOC,447.07,449.98,0.472,454.66,0.1603,453.79,8009,0,-9.09
