price,symbol,high,relvolume,percentchange,open,low,watchers,hourchange,sentiment
128.8,EA,129.56,0.4949,0.4837,128.28,128.15,20704,1,0.0
474.18,NOC,478.4,0.4428,-0.6058,478.4,472.07,8041,0,8.57
166.65,AAPL,167.87,0.6838,-0.5846,166.09,165.56,878284,6,-2.47
126.36,IBM,130.98,1.7117,0.0317,130.15,125.84,51478,-1,4.14
213.07,META,216.75,0.4419,-1.2193,213.48,212.77,513000,5,-2.5
224.79,ENPH,226.26,0.5575,0.2319,220.5,219.31,37479,0,1.5
103.81,AMZN,105.24,0.7877,-0.4698,103.53,103.21,588838,3,-1.61
30.86,INTC,31.25,0.5128,-0.931,30.76,30.71,131293,0,-2.63
8.0,CVNA,8.51,0.3562,-7.3001,8.3,7.91,23278,-1,-7.04
90.11,AMD,91.575,0.7047,0.189,88.825,88.75,456929,4,-0.94
4.97,AMC,5.02,0.2431,-2.549,5.0,4.89,413195,0,0.39
271.04,NVDA,280.3,0.791,-2.9609,276.71,270.0,422013,4,1.57
91.38,SONY,92.275,0.7099,0.4507,90.97,90.915,2090,0,0.0
105.29,GOOGL,106.25,0.5805,1.0655,103.91,103.8684,160588,-2,-0.89
5.92,SOFI,6.045,0.5018,-2.6316,5.98,5.88,91966,3,-0.21
162.99,TSLA,169.55,1.261,-9.7458,166.165,160.56,892529,42,-6.2
140.81,JPM,141.4299,0.5739,-0.2903,139.91,140.17,82975,0,-1.35
286.11,MSFT,289.03,0.5981,-0.8112,285.25,285.08,443702,1,-2.88
