relvolume,low,open,percentchange,symbol,price,high,watchers,hourchange,sentiment
1.4445,196.09,198.26,3.6308,META,204.93,205.76,511578,6,1.88
1.2179,121.92,122.96,1.1518,IBM,124.7,124.82,51321,0,7.43
0.6387,178.84,180.365,2.0393,TSLA,184.13,185.81,888564,3,3.85
1.4833,263.28,265.205,4.0536,MSFT,276.2,276.5,441647,1,5.72
0.7833,198.28,204.92,-2.2648,ENPH,201.1,205.58,36997,4,-0.93
1.9766,89.02,89.72,7.7163,AMD,96.6,96.69,455753,6,5.55
1.0857,84.21,84.51,3.1646,SONY,86.39,86.47,2078,0,-13.33
0.6438,5.28,5.3501,0.7394,SOFI,5.45,5.54,91532,-1,1.01
1.5477,28.4,28.39,6.2302,INTC,30.18,30.27,130776,0,5.56
0.764,4.06,4.22,4.2755,AMC,4.39,4.65,411748,0,0.45
0.7185,111.39,111.39,1.9303,EA,113.53,113.79,20735,0,-8.33
0.4207,6.63,6.92,5.1064,CVNA,7.41,7.585,23316,0,0.61
1.0602,95.61,95.75,3.9917,AMZN,100.04,100.99,586498,8,4.01
1.5267,95.5,96.2,4.3804,GOOGL,100.32,101.18,159481,0,1.93
1.8493,126.02,128.01,1.9414,JPM,130.75,131.95,81984,1,3.96
0.8285,448.0,449.11,0.2785,NOC,450.15,455.97,7993,0,5.68
1.1226,238.94,240.27,5.4193,NVDA,255.41,255.88,419041,9,6.78
0.9062,151.64,152.16,1.8694,AAPL,155.85,156.42,875748,6,4.36
