open,percentchange,high,low,relvolume,symbol,price,watchers,hourchange,sentiment
89.08,1.0744,89.7,88.71,0.8793,SONY,89.37,2079,0,0.0
29.0,-2.4005,29.165,27.975,1.1245,INTC,28.46,130845,1,1.19
196.93,7.8541,209.33,195.44,1.1827,ENPH,207.63,37224,4,3.07
274.88,0.5694,274.95,269.53,0.8582,MSFT,273.78,442006,8,0.7
5.35,6.705,5.6,5.3243,0.733,SOFI,5.57,91595,2,0.08
203.2,2.1991,203.515,197.96,0.9155,META,202.16,511809,1,1.98
157.32,1.1944,159.4,156.54,0.8214,AAPL,159.28,876129,9,1.72
453.79,0.1603,454.66,447.07,0.472,NOC,449.98,8009,0,0.0
97.0,-0.909,99.46,93.64,1.4062,AMD,95.93,455987,3,-1.4
130.59,2.6821,131.73,130.19,1.1569,JPM,130.55,82253,1,0.68
126.9,0.5002,127.15,125.66,0.5415,IBM,126.57,51324,0,6.41
261.8,1.1544,263.91,253.82,1.0443,NVDA,261.99,419549,9,0.94
113.11,1.2509,115.15,113.11,0.7754,EA,114.94,20730,0,-8.33
188.28,7.8199,197.99,188.04,0.8096,TSLA,197.58,888977,14,-0.27
101.25,3.6554,105.0996,101.22,0.949,GOOGL,104.92,159621,4,-1.74
4.33,3.2787,4.445,4.2115,0.4458,AMC,4.41,411745,2,1.38
98.14,2.968,100.84,98.0,0.7329,AMZN,100.61,586865,4,1.47
7.19,12.1641,8.09,7.18,0.3545,CVNA,7.93,23284,1,0.66
