symbol,high,price,open,low,relvolume,percentchange,watchers,hourchange,sentiment
INTC,33.56,32.89,32.94,32.54,1.0724,0.6734,131144,0,0.52
MSFT,288.27,287.23,286.52,283.95,0.6614,-0.3711,442836,6,-0.06
IBM,132.61,132.06,130.97,130.77,0.5014,0.7399,51354,0,2.17
TSLA,202.6897,194.77,199.91,192.2,0.9487,-6.1168,890366,11,-0.86
EA,121.65,121.35,120.14,119.6,0.5851,0.7472,20708,0,8.33
META,213.4861,213.07,208.84,208.2001,0.5014,0.5332,512473,13,1.8
NOC,471.55,469.19,463.3,462.65,0.4395,1.6179,8034,0,0.0
AAPL,166.29,166.17,164.27,164.27,0.6998,0.7702,877087,4,1.71
ENPH,215.8856,202.6,213.98,201.6293,0.7684,-3.6523,37373,0,1.41
AMZN,103.29,102.41,102.3,101.43,0.5293,-0.852,587689,3,0.93
CVNA,10.16,9.29,9.64,9.085,0.4915,-5.1073,23358,0,-0.11
AMD,96.79,96.56,96.695,94.81,0.7543,-1.4794,456499,-4,-0.82
GOOGL,104.53,104.36,102.39,102.11,0.5137,0.6073,160020,3,2.83
JPM,131.44,130.16,129.91,129.41,0.5897,-0.1151,82515,0,2.75
NVDA,280.0,279.65,275.09,273.36,0.736,0.6768,420848,3,1.19
SONY,91.38,91.33,90.41,90.41,1.0137,0.7501,2088,0,0.0
SOFI,6.275,6.03,6.14,5.94,0.8172,-0.659,91843,-1,-1.09
AMC,5.145,5.11,4.99,4.94,0.4861,1.996,412592,56,0.17
