open,percentchange,high,low,symbol,relvolume,price,watchers,hourchange,sentiment
198.26,3.6308,205.76,196.09,META,1.4445,204.93,511578,6,1.88
122.96,1.1518,124.82,121.92,IBM,1.2179,124.7,51321,0,7.43
180.365,2.0393,185.81,178.84,TSLA,0.6387,184.13,888564,3,3.85
265.205,4.0536,276.5,263.28,MSFT,1.4833,276.2,441647,1,5.72
204.92,-2.2648,205.58,198.28,ENPH,0.7833,201.1,36997,4,-0.93
89.72,7.7163,96.69,89.02,AMD,1.9766,96.6,455753,6,5.55
84.51,3.1646,86.47,84.21,SONY,1.0857,86.39,2078,0,-13.33
5.3501,0.7394,5.54,5.28,SOFI,0.6438,5.45,91532,-1,1.01
28.39,6.2302,30.27,28.4,INTC,1.5477,30.18,130776,0,5.56
4.22,4.2755,4.65,4.06,AMC,0.764,4.39,411748,0,0.45
111.39,1.9303,113.79,111.39,EA,0.7185,113.53,20735,0,-8.33
6.92,5.1064,7.585,6.63,CVNA,0.4207,7.41,23316,0,0.61
95.75,3.9917,100.99,95.61,AMZN,1.0602,100.04,586498,8,4.01
96.2,4.3804,101.18,95.5,GOOGL,1.5267,100.32,159481,0,1.93
128.01,1.9414,131.95,126.02,JPM,1.8493,130.75,81984,1,3.96
449.11,0.2785,455.97,448.0,NOC,0.8285,450.15,7993,0,5.68
240.27,5.4193,255.88,238.94,NVDA,1.1226,255.41,419041,9,6.78
152.16,1.8694,156.42,151.64,AAPL,0.9062,155.85,875748,6,4.36
