open,symbol,percentchange,high,low,price,relvolume,watchers,hourchange,sentiment
198.26,META,3.6308,205.76,196.09,204.93,1.4445,511572,3,1.87
122.96,IBM,1.1518,124.82,121.92,124.7,1.2179,51321,0,8.97
180.365,TSLA,2.0393,185.81,178.84,184.13,0.6387,888561,2,3.76
265.205,MSFT,4.0536,276.5,263.28,276.2,1.4833,441646,5,5.72
204.92,ENPH,-2.2648,205.58,198.28,201.1,0.7833,36993,1,-0.79
89.72,AMD,7.7163,96.69,89.02,96.6,1.9766,455747,8,5.51
84.51,SONY,3.1646,86.47,84.21,86.39,1.0857,2078,0,-13.33
5.3501,SOFI,0.7394,5.54,5.28,5.45,0.6438,91533,4,0.98
28.39,INTC,6.2302,30.27,28.4,30.18,1.5477,130776,-2,5.91
4.22,AMC,4.2755,4.65,4.06,4.39,0.764,411748,1,0.41
111.39,EA,1.9303,113.79,111.39,113.53,0.7185,20735,0,-8.33
6.92,CVNA,5.1064,7.585,6.63,7.41,0.4207,23316,-2,0.71
95.75,AMZN,3.9917,100.99,95.61,100.04,1.0602,586490,9,4.08
96.2,GOOGL,4.3804,101.18,95.5,100.32,1.5267,159481,3,1.64
128.01,JPM,1.9414,131.95,126.02,130.75,1.8493,81983,0,3.57
449.11,NOC,0.2785,455.97,448.0,450.15,0.8285,7993,0,5.68
240.27,NVDA,5.4193,255.88,238.94,255.41,1.1226,419032,3,6.78
152.16,AAPL,1.8694,156.42,151.64,155.85,0.9062,875742,2,3.84
