open,percentchange,low,price,symbol,high,relvolume,watchers,hourchange,sentiment
453.79,0.1603,447.07,449.98,NOC,454.66,0.472,8009,0,-9.09
261.8,1.1544,253.82,261.99,NVDA,263.91,1.0443,419575,5,0.94
188.28,7.8199,188.04,197.58,TSLA,197.99,0.8096,888995,1,-0.81
4.33,3.2787,4.2115,4.41,AMC,4.4458,0.4458,411807,13,2.6
101.25,3.6554,101.22,104.92,GOOGL,105.0996,0.949,159625,0,-2.0
7.19,12.1641,7.18,7.93,CVNA,8.09,0.3545,23281,-1,1.19
89.08,1.0744,88.71,89.37,SONY,89.7,0.8793,2080,0,0.0
98.14,2.968,98.0,100.61,AMZN,100.84,0.7329,586873,2,1.26
29.0,-2.4005,27.975,28.46,INTC,29.165,1.1245,130853,2,0.57
203.2,2.1991,197.96,202.16,META,203.515,0.9155,511818,0,1.52
274.88,0.5694,269.53,273.78,MSFT,274.95,0.8582,442021,4,0.61
5.35,6.705,5.3243,5.57,SOFI,5.6,0.733,91600,0,0.47
196.93,7.8541,195.44,207.63,ENPH,209.33,1.1827,37227,0,2.54
130.59,2.6821,130.19,130.55,JPM,131.73,1.1569,82255,0,-0.33
97.0,-0.909,93.64,95.93,AMD,99.46,1.4062,455985,0,-2.1
157.32,1.1944,156.54,159.28,AAPL,159.4,0.8214,876154,1,1.89
113.11,1.2509,113.11,114.94,EA,115.15,0.7754,20730,0,-8.33
126.9,0.5002,125.66,126.57,IBM,127.15,0.5415,51324,0,6.41
