open,low,relvolume,high,price,percentchange,symbol,watchers,hourchange,sentiment
86.11,85.74,0.8063,86.6682,85.82,-0.9464,SONY,2081,0,0.0
192.0,185.43,0.5363,192.35,189.19,-1.3659,TSLA,889588,-2,-2.99
5.74,5.51,0.5751,5.79,5.59,-2.9514,SOFI,91755,4,-0.29
98.11,96.29,0.4953,98.44,97.24,-0.816,AMZN,587292,0,-0.91
4.51,4.46,2.4732,5.5,5.15,13.1868,AMC,412343,21,0.85
29.075,28.63,0.6633,29.33,29.29,0.377,INTC,130890,0,-1.37
102.44,99.7401,0.707,102.4,101.03,-1.3957,GOOGL,159813,0,-5.03
196.0,190.624,0.3801,196.515,193.52,-1.1796,ENPH,37300,0,-2.53
129.18,128.8,0.4651,129.66,129.34,0.0232,IBM,51347,0,1.62
7.57,7.22,0.235,7.72,7.36,-3.4121,CVNA,23379,-1,-0.22
157.97,155.98,0.5555,158.1277,157.65,-0.398,AAPL,876657,0,-2.39
275.79,272.05,0.5713,276.13,275.23,-0.4161,MSFT,442491,3,-1.77
96.77,92.87,0.907,96.93,94.56,-2.1219,AMD,456319,0,-0.38
128.71,127.75,0.7437,129.3417,128.88,0.3035,JPM,82450,0,-5.06
458.31,457.59,0.3387,461.5,459.0,0.1637,NOC,8020,0,3.57
200.15,197.9,0.535,201.03,200.68,-1.0649,META,512233,1,-4.05
118.085,117.38,0.5197,118.4425,118.02,-0.5226,EA,20713,-1,4.44
264.47,258.5,0.6755,265.13,264.1,-0.4561,NVDA,420430,4,-1.17
