high,open,low,symbol,relvolume,percentchange,price,watchers,hourchange,sentiment
205.76,198.26,196.09,META,1.4445,3.6308,204.93,511572,3,1.87
124.82,122.96,121.92,IBM,1.2179,1.1518,124.7,51321,0,8.97
185.81,180.365,178.84,TSLA,0.6387,2.0393,184.13,888561,2,3.76
276.5,265.205,263.28,MSFT,1.4833,4.0536,276.2,441646,5,5.72
205.58,204.92,198.28,ENPH,0.7833,-2.2648,201.1,36993,1,-0.79
96.69,89.72,89.02,AMD,1.9766,7.7163,96.6,455747,8,5.51
86.47,84.51,84.21,SONY,1.0857,3.1646,86.39,2078,0,-13.33
5.54,5.3501,5.28,SOFI,0.6438,0.7394,5.45,91533,4,0.98
30.27,28.39,28.4,INTC,1.5477,6.2302,30.18,130776,-2,5.91
4.65,4.22,4.06,AMC,0.764,4.2755,4.39,411748,1,0.41
113.79,111.39,111.39,EA,0.7185,1.9303,113.53,20735,0,-8.33
7.585,6.92,6.63,CVNA,0.4207,5.1064,7.41,23316,-2,0.71
100.99,95.75,95.61,AMZN,1.0602,3.9917,100.04,586490,9,4.08
101.18,96.2,95.5,GOOGL,1.5267,4.3804,100.32,159481,3,1.64
131.95,128.01,126.02,JPM,1.8493,1.9414,130.75,81983,0,3.57
455.97,449.11,448.0,NOC,0.8285,0.2785,450.15,7993,0,5.68
255.88,240.27,238.94,NVDA,1.1226,5.4193,255.41,419032,3,6.78
156.42,152.16,151.64,AAPL,0.9062,1.8694,155.85,875742,2,3.84
