low,price,high,relvolume,open,symbol,percentchange,watchers,hourchange,sentiment
88.71,89.37,89.7,0.8793,89.08,SONY,1.0744,2080,1,0.0
27.975,28.46,29.165,1.1245,29.0,INTC,-2.4005,130849,4,0.57
195.44,207.63,209.33,1.1827,196.93,ENPH,7.8541,37226,2,2.89
197.96,202.16,203.515,0.9155,203.2,META,2.1991,511811,2,1.84
5.3243,5.57,5.6,0.733,5.35,SOFI,6.705,91599,4,0.53
269.53,273.78,274.95,0.8582,274.88,MSFT,0.5694,442011,5,0.47
93.64,95.93,99.46,1.4062,97.0,AMD,-0.909,455987,0,-1.56
156.54,159.28,159.4,0.8214,157.32,AAPL,1.1944,876138,9,1.81
447.07,449.98,454.66,0.472,453.79,NOC,0.1603,8009,0,-9.09
130.19,130.55,131.73,1.1569,130.59,JPM,2.6821,82252,-1,-0.12
125.66,126.57,127.15,0.5415,126.9,IBM,0.5002,51324,0,6.41
253.82,261.99,263.91,1.0443,261.8,NVDA,1.1544,419561,12,0.87
113.11,114.94,115.15,0.7754,113.11,EA,1.2509,20730,0,-8.33
188.04,197.58,197.99,0.8096,188.28,TSLA,7.8199,888982,5,-1.09
101.22,104.92,105.0996,0.949,101.25,GOOGL,3.6554,159624,3,-2.08
4.2115,4.41,4.4458,0.4458,4.33,AMC,3.2787,411759,14,1.33
98.0,100.61,100.84,0.7329,98.14,AMZN,2.968,586865,0,1.07
7.18,7.93,8.09,0.3545,7.19,CVNA,12.1641,23284,0,0.18
