percentchange,high,open,symbol,relvolume,low,price,watchers,hourchange,sentiment
-0.1795,6.03,5.79,SOFI,1.6018,5.54,5.56,91660,2,2.96
-1.1595,29.12,28.48,INTC,0.735,28.1,28.13,130858,-3,-4.99
1.72,101.7,95.65,AMD,1.7963,95.645,97.58,456049,9,-2.41
-1.4773,106.59,104.27,GOOGL,1.0266,103.33,103.37,159661,0,-5.13
-1.8984,102.1,100.45,AMZN,0.7426,98.61,98.7,586921,7,-0.5
6.3052,10.25,10.15,CVNA,1.7855,8.4,8.43,23434,-56,8.83
-2.1596,89.0699,88.91,SONY,0.9838,87.43,87.44,2080,-1,0.0
-2.6393,211.22,209.65,ENPH,0.8075,202.0,202.15,37244,1,-0.18
-3.2544,200.66,199.3,TSLA,0.7976,190.95,191.15,889103,-1,-0.55
-0.5442,281.04,273.4,MSFT,0.9473,272.22,272.29,442092,-3,1.94
-1.991,127.215,127.0,IBM,0.5477,124.01,124.05,51324,1,16.67
1.0268,275.89,264.25,NVDA,1.5517,262.37,264.68,419778,12,0.84
-1.1624,207.37,202.5,META,0.8014,199.67,199.81,511872,4,2.65
-1.4178,452.4,450.22,NOC,0.5627,443.085,443.6,8008,0,-18.94
-1.5873,4.75,4.73,AMC,0.8468,4.31,4.34,411912,-4,4.07
-0.9103,162.14,159.3,AAPL,0.893,157.81,157.83,876235,4,1.72
-1.5486,115.1,114.29,EA,0.8082,113.14,113.16,20724,0,25.0
-2.5814,130.655,130.56,JPM,1.1652,127.08,127.18,82275,4,0.56
