low,price,relvolume,symbol,percentchange,high,open,watchers,hourchange,sentiment
7.57,7.62,0.2612,CVNA,-6.9597,8.445,8.35,23415,-4,-0.55
157.87,158.28,0.6029,AAPL,-1.2293,160.77,159.94,876589,5,-0.45
455.23,458.25,0.3979,NOC,0.659,459.96,459.09,8013,0,0.0
4.3,4.55,0.5515,AMC,1.7897,4.58,4.51,411961,-2,-0.24
118.14,118.64,0.6373,EA,-0.3276,119.4,118.9,20715,-2,-5.45
191.61,195.83,0.5969,ENPH,-0.0816,200.21,199.36,37291,-1,-0.09
189.94,191.81,0.6504,TSLA,0.7353,197.39,194.415,889471,-3,-0.67
101.9273,102.46,0.6543,GOOGL,-2.8263,104.76,104.615,159782,-5,-0.54
29.08,29.18,0.6526,INTC,-0.6131,29.73,29.37,130885,-2,0.92
275.52,276.38,0.6882,MSFT,-1.4934,281.4589,280.5,442434,9,-0.32
263.6501,265.31,0.6791,NVDA,-0.9261,269.94,268.37,420369,7,-0.97
5.73,5.76,0.5937,SOFI,0.3484,5.88,5.82,91736,1,0.16
95.425,96.61,0.8904,AMD,-1.368,98.93,98.02,456277,1,-2.21
126.47,129.31,1.0705,IBM,3.2086,130.255,126.47,51334,-2,3.72
86.33,86.64,1.0594,SONY,-1.0168,87.38,87.12,2080,0,0.0
201.37,202.84,0.4942,META,-1.5388,205.86,204.81,512180,1,-0.25
126.29,128.49,1.2406,JPM,2.8661,129.38,126.79,82436,4,-2.07
97.08,98.04,0.5885,AMZN,-0.0917,99.335,99.07,587194,-3,-0.67
