price,relvolume,open,percentchange,low,high,symbol,watchers,hourchange,sentiment
100.61,0.7329,98.14,2.968,98.0,100.84,AMZN,586870,5,1.03
89.37,0.8793,89.08,1.0744,88.71,89.7,SONY,2080,0,0.0
28.46,1.1245,29.0,-2.4005,27.975,29.165,INTC,130851,2,0.57
207.63,1.1827,196.93,7.8541,195.44,209.33,ENPH,37226,0,2.86
202.16,0.9155,203.2,2.1991,197.96,203.515,META,511816,5,1.52
5.57,0.733,5.35,6.705,5.3243,5.6,SOFI,91599,0,0.37
273.78,0.8582,274.88,0.5694,269.53,274.95,MSFT,442015,4,0.47
159.28,0.8214,157.32,1.1944,156.54,159.4,AAPL,876148,10,1.8
261.99,1.0443,261.8,1.1544,253.82,263.91,NVDA,419567,6,0.87
95.93,1.4062,97.0,-0.909,93.64,99.46,AMD,455986,-1,-1.94
449.98,0.472,453.79,0.1603,447.07,454.66,NOC,8009,0,-9.09
126.57,0.5415,126.9,0.5002,125.66,127.15,IBM,51324,0,6.41
130.55,1.1569,130.59,2.6821,130.19,131.73,JPM,82253,1,-0.12
114.94,0.7754,113.11,1.2509,113.11,115.15,EA,20730,0,-8.33
197.58,0.8096,188.28,7.8199,188.04,197.99,TSLA,888991,9,-1.09
104.92,0.949,101.25,3.6554,101.22,105.0996,GOOGL,159624,0,-2.16
4.41,0.4458,4.33,3.2787,4.2115,4.4458,AMC,411775,16,1.63
7.93,0.3545,7.19,12.1641,7.18,8.09,CVNA,23284,0,-0.02
