low,open,percentchange,relvolume,high,symbol,price,watchers,hourchange,sentiment
28.63,29.075,0.377,0.6633,29.33,INTC,29.29,130890,0,-1.36
99.7401,102.44,-1.3957,0.707,102.4,GOOGL,101.03,159813,-2,-5.12
7.22,7.57,-3.4121,0.235,7.72,CVNA,7.36,23380,0,-0.01
190.624,196.0,-1.1796,0.3801,196.515,ENPH,193.52,37300,0,-2.55
128.8,129.18,0.0232,0.4651,129.66,IBM,129.34,51347,0,1.62
155.98,157.97,-0.398,0.5555,158.1277,AAPL,157.65,876657,2,-2.5
272.05,275.79,-0.4161,0.5713,276.13,MSFT,275.23,442488,3,-2.1
92.87,96.77,-2.1219,0.907,96.93,AMD,94.56,456319,3,-0.51
127.75,128.71,0.3035,0.7437,129.3417,JPM,128.88,82450,4,-4.75
258.5,264.47,-0.4561,0.6755,265.13,NVDA,264.1,420426,-2,-1.18
117.38,118.085,-0.5226,0.5197,118.4425,EA,118.02,20714,0,4.44
457.59,458.31,0.1637,0.3387,461.5,NOC,459.0,8020,0,3.57
185.43,192.0,-1.3659,0.5363,192.35,TSLA,189.19,889590,6,-3.09
197.9,200.15,-1.0649,0.535,201.03,META,200.68,512232,3,-4.04
85.74,86.11,-0.9464,0.8063,86.6682,SONY,85.82,2081,0,0.0
5.51,5.74,-2.9514,0.5751,5.79,SOFI,5.59,91751,0,-0.17
96.29,98.11,-0.816,0.4953,98.44,AMZN,97.24,587292,3,-1.45
4.46,4.51,13.1868,2.4732,5.5,AMC,5.15,412322,14,1.17
