low,relvolume,symbol,open,price,percentchange,high,watchers,hourchange,sentiment
272.05,0.5713,MSFT,275.79,275.23,-0.4161,276.13,442488,3,-2.1
92.87,0.907,AMD,96.77,94.56,-2.1219,96.93,456319,3,-0.51
127.75,0.7437,JPM,128.71,128.88,0.3035,129.3417,82450,4,-4.75
457.59,0.3387,NOC,458.31,459.0,0.1637,461.5,8020,0,3.57
117.38,0.5197,EA,118.085,118.02,-0.5226,118.4425,20714,0,4.44
258.5,0.6755,NVDA,264.47,264.1,-0.4561,265.13,420426,-2,-1.18
197.9,0.535,META,200.15,200.68,-1.0649,201.03,512232,3,-4.04
85.74,0.8063,SONY,86.11,85.82,-0.9464,86.6682,2081,0,0.0
185.43,0.5363,TSLA,192.0,189.19,-1.3659,192.35,889590,6,-3.09
5.51,0.5751,SOFI,5.74,5.59,-2.9514,5.79,91751,0,-0.17
96.29,0.4953,AMZN,98.11,97.24,-0.816,98.44,587292,3,-1.45
4.46,2.4732,AMC,4.51,5.15,13.1868,5.5,412322,14,1.17
28.63,0.6633,INTC,29.075,29.29,0.377,29.33,130890,0,-1.36
99.7401,0.707,GOOGL,102.44,101.03,-1.3957,102.4,159813,-2,-5.12
7.22,0.235,CVNA,7.57,7.36,-3.4121,7.72,23380,0,-0.01
190.624,0.3801,ENPH,196.0,193.52,-1.1796,196.515,37300,0,-2.55
128.8,0.4651,IBM,129.18,129.34,0.0232,129.66,51347,0,1.62
155.98,0.5555,AAPL,157.97,157.65,-0.398,158.1277,876657,2,-2.5
