open,low,percentchange,high,price,relvolume,symbol,watchers,hourchange,sentiment
120.14,119.6,0.7472,121.65,121.35,0.5851,EA,20708,0,8.33
129.91,129.41,-0.1151,131.44,130.16,0.5897,JPM,82517,2,2.86
102.39,102.11,0.6073,104.53,104.36,0.5137,GOOGL,160023,1,2.75
275.09,273.36,0.6768,280.0,279.65,0.736,NVDA,420852,0,1.61
90.41,90.41,0.7501,91.38,91.33,1.0137,SONY,2088,0,0.0
6.14,5.94,-0.659,6.275,6.03,0.8172,SOFI,91842,-2,-1.13
4.99,4.94,1.996,5.145,5.11,0.4861,AMC,412624,17,-0.91
32.94,32.54,0.6734,33.56,32.89,1.0724,INTC,131143,-1,0.34
286.52,283.95,-0.3711,288.27,287.23,0.6614,MSFT,442840,0,0.95
130.97,130.77,0.7399,132.61,132.06,0.5014,IBM,51354,1,2.17
463.3,462.65,1.6179,471.55,469.19,0.4395,NOC,8034,0,0.0
199.91,192.2,-6.1168,202.6897,194.77,0.9487,TSLA,890379,8,-0.49
164.27,164.27,0.7702,166.29,166.17,0.6998,AAPL,877095,7,2.26
208.84,208.2001,0.5332,213.4861,213.07,0.5014,META,512478,2,2.24
213.98,201.6293,-3.6523,215.8856,202.6,0.7684,ENPH,37376,0,1.19
9.64,9.085,-5.1073,10.16,9.29,0.4915,CVNA,23353,-4,-0.85
102.3,101.43,-0.852,103.29,102.41,0.5293,AMZN,587698,5,1.52
96.695,94.81,-1.4794,96.79,96.56,0.7543,AMD,456501,0,-0.2
