low,symbol,relvolume,price,percentchange,open,high,watchers,hourchange,sentiment
29.08,INTC,0.6526,29.165,-0.6642,29.37,29.73,130887,2,1.05
275.52,MSFT,0.6882,276.19,-1.5611,280.5,281.4589,442425,0,0.39
263.6501,NVDA,0.6791,265.15,-0.9858,268.37,269.94,420362,-3,-0.78
5.73,SOFI,0.5937,5.76,0.3484,5.82,5.88,91735,0,0.16
126.47,IBM,1.0705,129.3,3.2006,126.47,130.255,51336,0,3.72
95.425,AMD,0.8904,96.54,-1.4395,98.02,98.93,456276,4,-2.21
201.37,META,0.4942,202.67,-1.6213,204.81,205.86,512179,0,-0.25
86.33,SONY,1.0594,86.61,-1.0511,87.12,87.38,2080,0,0.0
97.08,AMZN,0.5885,98.03,-0.1019,99.07,99.335,587197,2,-0.53
126.29,JPM,1.2406,128.49,2.8661,126.79,129.38,82432,2,-2.07
4.3,AMC,0.5515,4.575,2.349,4.51,4.58,411963,-3,-0.26
455.23,NOC,0.3979,458.515,0.7172,459.09,459.96,8013,0,0.0
157.87,AAPL,0.6029,158.12,-1.3292,159.94,160.77,876584,-5,-0.33
7.57,CVNA,0.2612,7.6279,-6.8632,8.35,8.3686,23419,0,-0.54
189.94,TSLA,0.6504,191.71,0.6827,194.415,197.39,889474,5,-0.67
191.61,ENPH,0.5969,195.725,-0.1352,199.36,200.21,37292,-1,0.25
118.14,EA,0.6373,118.53,-0.4201,118.9,119.4,20717,0,-5.45
101.9273,GOOGL,0.6543,102.39,-2.8926,104.615,104.76,159787,0,-0.63
