price,percentchange,symbol,high,open,relvolume,low,watchers,hourchange,sentiment
5.59,-2.9514,SOFI,5.79,5.74,0.5751,5.51,91751,-2,-0.12
5.15,13.1868,AMC,5.5,4.51,2.4732,4.46,412308,24,1.24
29.29,0.377,INTC,29.33,29.075,0.6633,28.63,130890,-1,-1.2
7.36,-3.4121,CVNA,7.72,7.57,0.235,7.22,23380,2,0.16
101.03,-1.3957,GOOGL,102.4,102.44,0.707,99.7401,159815,0,-4.78
193.52,-1.1796,ENPH,196.515,196.0,0.3801,190.624,37300,0,-2.57
129.34,0.0232,IBM,129.66,129.18,0.4651,128.8,51347,5,1.62
157.65,-0.398,AAPL,158.1277,157.97,0.5555,155.98,876655,2,-2.81
275.23,-0.4161,MSFT,276.13,275.79,0.5713,272.05,442485,0,-2.16
94.56,-2.1219,AMD,96.93,96.77,0.907,92.87,456316,1,-0.35
128.88,0.3035,JPM,129.3417,128.71,0.7437,127.75,82446,0,-4.76
118.02,-0.5226,EA,118.4425,118.085,0.5197,117.38,20714,0,4.44
459.0,0.1637,NOC,461.5,458.31,0.3387,457.59,8020,2,0.0
264.1,-0.4561,NVDA,265.13,264.47,0.6755,258.5,420428,3,-1.21
200.68,-1.0649,META,201.03,200.15,0.535,197.9,512229,1,-3.87
189.19,-1.3659,TSLA,192.35,192.0,0.5363,185.43,889584,0,-3.17
85.82,-0.9464,SONY,86.6682,86.11,0.8063,85.74,2081,0,0.0
97.24,-0.816,AMZN,98.44,98.11,0.4953,96.29,587289,3,-1.74
