open,high,percentchange,relvolume,price,low,symbol,watchers,hourchange,sentiment
113.79,116.6,2.5451,0.8094,116.04,113.665,EA,20718,-2,10.0
277.94,281.05,1.9722,0.9851,277.66,275.2,MSFT,442175,4,-2.81
100.05,102.43,2.767,1.3328,100.28,98.675,AMD,456158,5,-3.56
5.65,5.88,3.9568,0.908,5.78,5.57,SOFI,91693,4,0.85
123.81,124.93,-0.5482,0.7541,123.37,122.6,IBM,51330,1,-12.48
271.155,274.99,2.7316,1.0834,271.91,266.9018,NVDA,420058,6,-1.46
127.9,129.53,-0.2673,1.1679,126.84,126.02,JPM,82306,-4,-1.24
207.2,214.85,1.2417,0.7403,204.66,201.875,ENPH,37262,0,1.03
158.83,161.55,0.697,0.8239,158.93,157.68,AAPL,876310,1,-3.25
8.63,9.47,-0.949,0.672,8.35,7.87,CVNA,23438,-2,0.07
202.84,207.88,2.2371,0.7536,204.28,202.155,META,511942,2,-3.15
100.43,101.06,0.0101,0.7327,98.71,97.62,AMZN,587011,0,-3.43
444.01,446.06,0.1894,0.8075,444.44,440.81,NOC,8010,0,0.0
88.32,89.415,0.9492,1.1967,88.27,87.702,SONY,2080,0,0.0
105.06,106.3,2.1573,0.901,105.6,104.46,GOOGL,159705,5,-6.07
195.26,199.31,0.5598,0.7694,192.22,188.65,TSLA,889229,8,-3.98
28.38,29.16,3.1994,0.8506,29.03,28.22,INTC,130859,-3,-10.24
4.44,4.68,2.9954,0.5333,4.47,4.34,AMC,411932,5,-0.29
