low,open,symbol,percentchange,price,high,relvolume,watchers,hourchange,sentiment
5.88,5.98,SOFI,-2.6316,5.92,6.045,0.5018,91960,0,0.16
160.56,166.165,TSLA,-9.7458,162.99,169.55,1.261,892479,41,-9.18
140.17,139.91,JPM,-0.2903,140.81,141.4299,0.5739,82976,0,-0.74
472.07,478.4,NOC,-0.6058,474.18,478.4,0.4428,8041,-1,5.84
285.08,285.25,MSFT,-0.8112,286.11,289.03,0.5981,443694,3,-2.92
125.84,130.15,IBM,0.0317,126.36,130.98,1.7117,51481,-6,4.32
165.56,166.09,AAPL,-0.5846,166.65,167.87,0.6838,878278,-1,-2.57
212.77,213.48,META,-1.2193,213.07,216.75,0.4419,512991,4,-3.16
128.15,128.28,EA,0.4837,128.8,129.56,0.4949,20703,0,0.0
219.31,220.5,ENPH,0.2319,224.79,226.26,0.5575,37478,0,1.77
103.21,103.53,AMZN,-0.4698,103.81,105.24,0.7877,588828,4,-1.92
30.71,30.76,INTC,-0.931,30.86,31.25,0.5128,131291,-2,-0.61
88.75,88.825,AMD,0.189,90.11,91.575,0.7047,456932,1,-1.38
7.91,8.3,CVNA,-7.3001,8.0,8.51,0.3562,23279,0,-5.63
4.89,5.0,AMC,-2.549,4.97,5.02,0.2431,413189,-1,0.82
103.8684,103.91,GOOGL,1.0655,105.29,106.25,0.5805,160586,4,-1.32
270.0,276.71,NVDA,-2.9609,271.04,280.3,0.791,422006,7,1.35
90.915,90.97,SONY,0.4507,91.38,92.275,0.7099,2090,0,0.0
