open,relvolume,high,price,percentchange,low,symbol,watchers,hourchange,sentiment
32.94,1.0724,33.56,32.89,0.6734,32.54,INTC,131144,0,0.52
286.52,0.6614,288.27,287.23,-0.3711,283.95,MSFT,442836,6,-0.06
130.97,0.5014,132.61,132.06,0.7399,130.77,IBM,51354,0,2.17
199.91,0.9487,202.6897,194.77,-6.1168,192.2,TSLA,890366,11,-0.86
208.84,0.5014,213.4861,213.07,0.5332,208.2001,META,512473,13,1.8
120.14,0.5851,121.65,121.35,0.7472,119.6,EA,20708,0,8.33
463.3,0.4395,471.55,469.19,1.6179,462.65,NOC,8034,0,0.0
164.27,0.6998,166.29,166.17,0.7702,164.27,AAPL,877087,4,1.71
213.98,0.7684,215.8856,202.6,-3.6523,201.6293,ENPH,37373,0,1.41
102.3,0.5293,103.29,102.41,-0.852,101.43,AMZN,587689,3,0.93
9.64,0.4915,10.16,9.29,-5.1073,9.085,CVNA,23358,0,-0.11
96.695,0.7543,96.79,96.56,-1.4794,94.81,AMD,456499,-4,-0.82
102.39,0.5137,104.53,104.36,0.6073,102.11,GOOGL,160020,3,2.83
129.91,0.5897,131.44,130.16,-0.1151,129.41,JPM,82515,0,2.75
275.09,0.736,280.0,279.65,0.6768,273.36,NVDA,420848,3,1.19
90.41,1.0137,91.38,91.33,0.7501,90.41,SONY,2088,0,0.0
6.14,0.8172,6.275,6.03,-0.659,5.94,SOFI,91843,-1,-1.09
4.99,0.4861,5.145,5.11,1.996,4.94,AMC,412592,56,0.17
