relvolume,high,symbol,percentchange,low,price,open,watchers,hourchange,sentiment
0.4949,129.56,EA,0.4837,128.15,128.8,128.28,20704,1,0.0
0.4428,478.4,NOC,-0.6058,472.07,474.18,478.4,8041,0,8.57
0.6838,167.87,AAPL,-0.5846,165.56,166.65,166.09,878284,6,-2.47
1.7117,130.98,IBM,0.0317,125.84,126.36,130.15,51478,-1,4.14
0.4419,216.75,META,-1.2193,212.77,213.07,213.48,513000,5,-2.5
0.5575,226.26,ENPH,0.2319,219.31,224.79,220.5,37479,0,1.5
0.7877,105.24,AMZN,-0.4698,103.21,103.81,103.53,588838,3,-1.61
0.5128,31.25,INTC,-0.931,30.71,30.86,30.76,131293,0,-2.63
0.3562,8.51,CVNA,-7.3001,7.91,8.0,8.3,23278,-1,-7.04
0.7047,91.575,AMD,0.189,88.75,90.11,88.825,456929,4,-0.94
0.2431,5.02,AMC,-2.549,4.89,4.97,5.0,413195,0,0.39
0.791,280.3,NVDA,-2.9609,270.0,271.04,276.71,422013,4,1.57
0.7099,92.275,SONY,0.4507,90.915,91.38,90.97,2090,0,0.0
0.5805,106.25,GOOGL,1.0655,103.8684,105.29,103.91,160588,-2,-0.89
0.5018,6.045,SOFI,-2.6316,5.88,5.92,5.98,91966,3,-0.21
1.261,169.55,TSLA,-9.7458,160.56,162.99,166.165,892529,42,-6.2
0.5739,141.4299,JPM,-0.2903,140.17,140.81,139.91,82975,0,-1.35
0.5981,289.03,MSFT,-0.8112,285.08,286.11,285.25,443702,1,-2.88
