high,low,price,symbol,relvolume,open,percentchange,watchers,hourchange,sentiment
200.21,191.61,195.83,ENPH,0.5969,199.36,-0.0816,37291,-1,-0.09
197.39,189.94,191.81,TSLA,0.6504,194.415,0.7353,889471,-3,-0.67
119.4,118.14,118.64,EA,0.6373,118.9,-0.3276,20715,-2,-5.45
104.76,101.9273,102.46,GOOGL,0.6543,104.615,-2.8263,159782,-5,-0.54
29.73,29.08,29.18,INTC,0.6526,29.37,-0.6131,130885,-2,0.92
269.94,263.6501,265.31,NVDA,0.6791,268.37,-0.9261,420369,7,-0.97
281.4589,275.52,276.38,MSFT,0.6882,280.5,-1.4934,442434,9,-0.32
5.88,5.73,5.76,SOFI,0.5937,5.82,0.3484,91736,1,0.16
98.93,95.425,96.61,AMD,0.8904,98.02,-1.368,456277,1,-2.21
130.255,126.47,129.31,IBM,1.0705,126.47,3.2086,51334,-2,3.72
205.86,201.37,202.84,META,0.4942,204.81,-1.5388,512180,1,-0.25
87.38,86.33,86.64,SONY,1.0594,87.12,-1.0168,2080,0,0.0
99.335,97.08,98.04,AMZN,0.5885,99.07,-0.0917,587194,-3,-0.67
129.38,126.29,128.49,JPM,1.2406,126.79,2.8661,82436,4,-2.07
459.96,455.23,458.25,NOC,0.3979,459.09,0.659,8013,0,0.0
8.445,7.57,7.62,CVNA,0.2612,8.35,-6.9597,23415,-4,-0.55
160.77,157.87,158.28,AAPL,0.6029,159.94,-1.2293,876589,5,-0.45
4.58,4.3,4.55,AMC,0.5515,4.51,1.7897,411961,-2,-0.24
