price,high,percentchange,low,relvolume,symbol,open,watchers,hourchange,sentiment
469.3,471.55,1.6417,462.72,0.4395,NOC,463.3,8031,1,0.0
287.2132,288.27,-0.377,283.95,0.6614,MSFT,286.52,442828,0,-1.21
279.73,280.0,0.7056,273.36,0.736,NVDA,275.09,420821,2,0.05
213.13,213.4861,0.5615,208.2001,0.5014,META,208.84,512447,3,0.11
202.66,215.8856,-3.6237,201.6293,0.7684,ENPH,213.98,37369,-1,1.5
194.65,202.6897,-6.1747,192.2,0.9487,TSLA,199.91,890319,16,-1.76
166.175,166.29,0.7732,164.27,0.6998,AAPL,164.27,877070,11,0.48
132.08,132.61,0.7552,130.77,0.5014,IBM,130.97,51351,0,2.08
130.18,131.43,-0.0998,129.41,0.5897,JPM,129.91,82511,1,4.35
121.4,121.65,0.7887,119.6,0.5851,EA,120.14,20708,0,0.0
104.42,104.53,0.6652,102.11,0.5137,GOOGL,102.39,160009,3,1.42
102.4,103.29,-0.8617,101.43,0.5293,AMZN,102.3,587675,1,1.17
96.6,96.79,-1.4386,94.81,0.7543,AMD,96.695,456505,5,-1.17
91.35,91.38,0.7722,90.455,1.0137,SONY,90.41,2089,0,0.0
32.915,33.56,0.7499,32.54,1.0724,INTC,32.94,131140,-4,-0.19
9.305,10.16,-4.954,9.085,0.4915,CVNA,9.64,23361,10,0.88
6.03,6.275,-0.659,5.94,0.8172,SOFI,6.14,91846,3,-1.17
5.075,5.145,1.2974,4.94,0.4861,AMC,4.99,412503,-1,0.2
