low,relvolume,high,price,percentchange,open,symbol,watchers,hourchange,sentiment
196.09,1.4445,205.76,204.93,3.6308,198.26,META,511578,6,1.88
121.92,1.2179,124.82,124.7,1.1518,122.96,IBM,51321,0,7.43
178.84,0.6387,185.81,184.13,2.0393,180.365,TSLA,888564,3,3.85
263.28,1.4833,276.5,276.2,4.0536,265.205,MSFT,441647,1,5.72
198.28,0.7833,205.58,201.1,-2.2648,204.92,ENPH,36997,4,-0.93
89.02,1.9766,96.69,96.6,7.7163,89.72,AMD,455753,6,5.55
84.21,1.0857,86.47,86.39,3.1646,84.51,SONY,2078,0,-13.33
5.28,0.6438,5.54,5.45,0.7394,5.3501,SOFI,91532,-1,1.01
28.4,1.5477,30.27,30.18,6.2302,28.39,INTC,130776,0,5.56
4.06,0.764,4.65,4.39,4.2755,4.22,AMC,411748,0,0.45
111.39,0.7185,113.79,113.53,1.9303,111.39,EA,20735,0,-8.33
6.63,0.4207,7.585,7.41,5.1064,6.92,CVNA,23316,0,0.61
95.61,1.0602,100.99,100.04,3.9917,95.75,AMZN,586498,8,4.01
95.5,1.5267,101.18,100.32,4.3804,96.2,GOOGL,159481,0,1.93
126.02,1.8493,131.95,130.75,1.9414,128.01,JPM,81984,1,3.96
448.0,0.8285,455.97,450.15,0.2785,449.11,NOC,7993,0,5.68
238.94,1.1226,255.88,255.41,5.4193,240.27,NVDA,419041,9,6.78
151.64,0.9062,156.42,155.85,1.8694,152.16,AAPL,875748,6,4.36
