low,open,price,symbol,percentchange,high,relvolume,watchers,hourchange,sentiment
118.14,118.9,118.64,EA,-0.3276,119.4,0.6373,20715,0,-5.45
189.94,194.415,191.81,TSLA,0.7353,197.39,0.6504,889486,8,-0.82
101.9273,104.615,102.46,GOOGL,-2.8263,104.76,0.6543,159780,0,-1.16
29.08,29.37,29.18,INTC,-0.6131,29.73,0.6526,130884,0,0.97
275.52,280.5,276.38,MSFT,-1.4934,281.4589,0.6882,442443,4,-0.58
263.6501,268.37,265.31,NVDA,-0.9261,269.94,0.6791,420367,0,-1.01
5.73,5.82,5.76,SOFI,0.3484,5.88,0.5937,91739,2,0.42
86.33,87.12,86.64,SONY,-1.0168,87.38,1.0594,2080,0,0.0
126.47,126.47,129.31,IBM,3.2086,130.255,1.0705,51335,0,4.09
95.425,98.02,96.61,AMD,-1.368,98.93,0.8904,456283,0,-2.23
126.29,126.79,128.49,JPM,2.8661,129.38,1.2406,82438,0,-1.43
97.08,99.07,98.04,AMZN,-0.0917,99.335,0.5885,587204,5,-0.37
201.37,204.81,202.84,META,-1.5388,205.86,0.4942,512187,2,-0.91
455.23,459.09,458.25,NOC,0.659,459.96,0.3979,8013,0,0.0
157.87,159.94,158.28,AAPL,-1.2293,160.77,0.6029,876596,2,-0.86
4.3,4.51,4.55,AMC,1.7897,4.58,0.5515,411960,1,-0.63
7.57,8.35,7.62,CVNA,-6.9597,8.445,0.2612,23411,0,-0.62
191.61,199.36,195.83,ENPH,-0.0816,200.21,0.5969,37294,2,-0.21
