percentchange,high,low,price,relvolume,open,symbol,watchers,hourchange,sentiment
-0.3276,119.4,118.14,118.64,0.6373,118.9,EA,20715,0,-5.45
1.7897,4.58,4.3,4.55,0.5515,4.51,AMC,411960,0,-0.8
-0.0917,99.335,97.08,98.04,0.5885,99.07,AMZN,587206,2,-0.48
-6.9597,8.445,7.57,7.62,0.2612,8.35,CVNA,23412,1,-0.26
-0.0816,200.21,191.61,195.83,0.5969,199.36,ENPH,37294,0,-0.19
0.7353,197.39,189.94,191.81,0.6504,194.415,TSLA,889486,0,-0.73
-2.8263,104.76,101.9273,102.46,0.6543,104.615,GOOGL,159785,5,-1.37
-0.6131,29.73,29.08,29.18,0.6526,29.37,INTC,130884,0,0.75
-1.4934,281.4589,275.52,276.38,0.6882,280.5,MSFT,442445,2,-0.71
-0.9261,269.94,263.6501,265.31,0.6791,268.37,NVDA,420376,9,-0.96
0.3484,5.88,5.73,5.76,0.5937,5.82,SOFI,91739,0,0.49
-1.0168,87.38,86.33,86.64,1.0594,87.12,SONY,2080,0,0.0
2.8661,129.38,126.29,128.49,1.2406,126.79,JPM,82439,1,-0.63
-1.368,98.93,95.425,96.61,0.8904,98.02,AMD,456283,0,-2.2
-1.5388,205.86,201.37,202.84,0.4942,204.81,META,512187,0,-1.09
-1.2293,160.77,157.87,158.28,0.6029,159.94,AAPL,876599,3,-1.03
0.659,459.96,455.23,458.25,0.3979,459.09,NOC,8012,-1,0.0
3.2086,130.255,126.47,129.31,1.0705,126.47,IBM,51334,-1,4.09
