relvolume,low,percentchange,price,symbol,high,open,watchers,hourchange,sentiment
0.472,447.07,0.1603,449.98,NOC,454.66,453.79,8009,0,-9.09
1.0443,253.82,1.1544,261.99,NVDA,263.91,261.8,419575,5,0.94
0.8096,188.04,7.8199,197.58,TSLA,197.99,188.28,888995,1,-0.81
0.4458,4.2115,3.2787,4.41,AMC,4.4458,4.33,411807,13,2.6
0.949,101.22,3.6554,104.92,GOOGL,105.0996,101.25,159625,0,-2.0
0.3545,7.18,12.1641,7.93,CVNA,8.09,7.19,23281,-1,1.19
0.8793,88.71,1.0744,89.37,SONY,89.7,89.08,2080,0,0.0
0.7329,98.0,2.968,100.61,AMZN,100.84,98.14,586873,2,1.26
1.1245,27.975,-2.4005,28.46,INTC,29.165,29.0,130853,2,0.57
0.9155,197.96,2.1991,202.16,META,203.515,203.2,511818,0,1.52
0.8582,269.53,0.5694,273.78,MSFT,274.95,274.88,442021,4,0.61
0.733,5.3243,6.705,5.57,SOFI,5.6,5.35,91600,0,0.47
1.1827,195.44,7.8541,207.63,ENPH,209.33,196.93,37227,0,2.54
1.1569,130.19,2.6821,130.55,JPM,131.73,130.59,82255,0,-0.33
1.4062,93.64,-0.909,95.93,AMD,99.46,97.0,455985,0,-2.1
0.8214,156.54,1.1944,159.28,AAPL,159.4,157.32,876154,1,1.89
0.7754,113.11,1.2509,114.94,EA,115.15,113.11,20730,0,-8.33
0.5415,125.66,0.5002,126.57,IBM,127.15,126.9,51324,0,6.41
