low,high,percentchange,price,symbol,relvolume,open,watchers,hourchange,sentiment
119.6,121.65,0.7472,121.35,EA,0.5851,120.14,20708,0,8.33
129.41,131.44,-0.1151,130.16,JPM,0.5897,129.91,82517,2,2.86
102.11,104.53,0.6073,104.36,GOOGL,0.5137,102.39,160023,1,2.75
273.36,280.0,0.6768,279.65,NVDA,0.736,275.09,420852,0,1.61
90.41,91.38,0.7501,91.33,SONY,1.0137,90.41,2088,0,0.0
5.94,6.275,-0.659,6.03,SOFI,0.8172,6.14,91842,-2,-1.13
4.94,5.145,1.996,5.11,AMC,0.4861,4.99,412624,17,-0.91
32.54,33.56,0.6734,32.89,INTC,1.0724,32.94,131143,-1,0.34
283.95,288.27,-0.3711,287.23,MSFT,0.6614,286.52,442840,0,0.95
130.77,132.61,0.7399,132.06,IBM,0.5014,130.97,51354,1,2.17
462.65,471.55,1.6179,469.19,NOC,0.4395,463.3,8034,0,0.0
192.2,202.6897,-6.1168,194.77,TSLA,0.9487,199.91,890379,8,-0.49
164.27,166.29,0.7702,166.17,AAPL,0.6998,164.27,877095,7,2.26
208.2001,213.4861,0.5332,213.07,META,0.5014,208.84,512478,2,2.24
201.6293,215.8856,-3.6523,202.6,ENPH,0.7684,213.98,37376,0,1.19
9.085,10.16,-5.1073,9.29,CVNA,0.4915,9.64,23353,-4,-0.85
101.43,103.29,-0.852,102.41,AMZN,0.5293,102.3,587698,5,1.52
94.81,96.79,-1.4794,96.56,AMD,0.7543,96.695,456501,0,-0.2
