low,symbol,percentchange,price,open,relvolume,high,watchers,hourchange,sentiment
4.31,AMC,-1.9274,4.325,4.73,0.8468,4.73,411912,-4,4.07
157.89,AAPL,-0.8036,158.0,159.3,0.893,162.14,876235,4,1.72
113.14,EA,-1.5573,113.15,114.29,0.8082,115.1,20724,0,25.0
127.0843,JPM,-2.6273,127.12,130.56,1.1652,130.655,82275,4,0.56
5.54,SOFI,-0.2693,5.555,5.79,1.6018,6.03,91660,2,2.96
28.1,INTC,-1.2298,28.11,28.48,0.735,29.12,130858,-3,-4.99
103.34,GOOGL,-1.4868,103.36,104.27,1.0266,106.59,159661,0,-5.13
98.67,AMZN,-1.9133,98.685,100.45,0.7426,102.1,586921,7,-0.5
95.645,AMD,1.7565,97.615,95.65,1.7963,101.7,456049,9,-2.41
8.4,CVNA,6.3052,8.43,10.15,1.7855,10.25,23434,-56,8.83
87.445,SONY,-2.126,87.47,88.91,0.9838,89.0699,2080,-1,0.0
202.0,ENPH,-2.5911,202.25,209.65,0.8075,211.22,37244,1,-0.18
272.32,MSFT,-0.526,272.34,273.4,0.9473,281.04,442092,-3,1.94
191.13,TSLA,-3.2443,191.17,199.3,0.7976,200.66,889103,-1,-0.55
124.04,IBM,-1.9989,124.04,127.0,0.5477,127.215,51324,1,16.67
199.76,META,-1.1872,199.76,202.5,0.8014,207.37,511872,4,2.65
262.37,NVDA,1.0897,264.845,264.25,1.5517,275.89,419778,12,0.84
443.085,NOC,-1.3634,443.845,450.22,0.5627,452.4,8008,0,-18.94
