open,price,high,low,percentchange,relvolume,symbol,watchers,hourchange,sentiment
32.94,32.89,33.56,32.54,0.6734,1.0724,INTC,131142,1,0.28
286.52,287.23,288.27,283.95,-0.3711,0.6614,MSFT,442829,-1,-0.39
130.97,132.06,132.61,130.77,0.7399,0.5014,IBM,51354,2,2.17
463.3,469.19,471.55,462.65,1.6179,0.4395,NOC,8031,0,0.0
208.84,213.07,213.4861,208.2001,0.5332,0.5014,META,512458,9,1.13
199.91,194.77,202.6897,192.2,-6.1168,0.9487,TSLA,890345,9,-1.25
120.14,121.35,121.65,119.6,0.7472,0.5851,EA,20708,0,0.0
213.98,202.6,215.8856,201.6293,-3.6523,0.7684,ENPH,37372,2,1.98
9.64,9.29,10.16,9.085,-5.1073,0.4915,CVNA,23359,0,-0.36
164.27,166.17,166.29,164.27,0.7702,0.6998,AAPL,877079,8,1.35
96.695,96.56,96.79,94.81,-1.4794,0.7543,AMD,456507,0,-0.99
102.39,104.36,104.53,102.11,0.6073,0.5137,GOOGL,160012,2,1.9
102.3,102.41,103.29,101.43,-0.852,0.5293,AMZN,587682,6,1.05
129.91,130.16,131.43,129.41,-0.1151,0.5897,JPM,82515,0,4.44
6.14,6.03,6.275,5.94,-0.659,0.8172,SOFI,91844,-1,-1.22
275.09,279.65,280.0,273.36,0.6768,0.736,NVDA,420840,8,0.99
90.41,91.33,91.38,90.455,0.7501,1.0137,SONY,2088,0,0.0
4.99,5.11,5.145,4.94,1.996,0.4861,AMC,412500,-4,0.46
