open,relvolume,percentchange,low,price,high,symbol,watchers,hourchange,sentiment
128.28,0.4949,0.4837,128.15,128.8,129.56,EA,20704,1,0.0
478.4,0.4428,-0.6058,472.07,474.18,478.4,NOC,8041,0,8.57
166.09,0.6838,-0.5846,165.56,166.65,167.87,AAPL,878284,6,-2.47
130.15,1.7117,0.0317,125.84,126.36,130.98,IBM,51478,-1,4.14
213.48,0.4419,-1.2193,212.77,213.07,216.75,META,513000,5,-2.5
220.5,0.5575,0.2319,219.31,224.79,226.26,ENPH,37479,0,1.5
103.53,0.7877,-0.4698,103.21,103.81,105.24,AMZN,588838,3,-1.61
30.76,0.5128,-0.931,30.71,30.86,31.25,INTC,131293,0,-2.63
8.3,0.3562,-7.3001,7.91,8.0,8.51,CVNA,23278,-1,-7.04
88.825,0.7047,0.189,88.75,90.11,91.575,AMD,456929,4,-0.94
5.0,0.2431,-2.549,4.89,4.97,5.02,AMC,413195,0,0.39
276.71,0.791,-2.9609,270.0,271.04,280.3,NVDA,422013,4,1.57
90.97,0.7099,0.4507,90.915,91.38,92.275,SONY,2090,0,0.0
103.91,0.5805,1.0655,103.8684,105.29,106.25,GOOGL,160588,-2,-0.89
5.98,0.5018,-2.6316,5.88,5.92,6.045,SOFI,91966,3,-0.21
166.165,1.261,-9.7458,160.56,162.99,169.55,TSLA,892529,42,-6.2
139.91,0.5739,-0.2903,140.17,140.81,141.4299,JPM,82975,0,-1.35
285.25,0.5981,-0.8112,285.08,286.11,289.03,MSFT,443702,1,-2.88
