open,high,low,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
478.4,478.4,472.07,0.4428,NOC,-0.6058,474.18,8041,0,8.57
285.25,289.03,285.08,0.5981,MSFT,-0.8112,286.11,443701,7,-2.36
166.09,167.87,165.56,0.6838,AAPL,-0.5846,166.65,878278,0,-2.72
130.15,130.98,125.84,1.7117,IBM,0.0317,126.36,51479,-2,4.36
213.48,216.75,212.77,0.4419,META,-1.2193,213.07,512995,4,-2.62
220.5,226.26,219.31,0.5575,ENPH,0.2319,224.79,37479,1,1.5
128.28,129.56,128.15,0.4949,EA,0.4837,128.8,20703,0,0.0
103.53,105.24,103.21,0.7877,AMZN,-0.4698,103.81,588835,7,-1.61
30.76,31.25,30.71,0.5128,INTC,-0.931,30.86,131293,2,-2.09
8.3,8.51,7.91,0.3562,CVNA,-7.3001,8.0,23279,0,-6.7
88.825,91.575,88.75,0.7047,AMD,0.189,90.11,456925,-7,-1.38
5.0,5.02,4.89,0.2431,AMC,-2.549,4.97,413195,6,0.68
103.91,106.25,103.8684,0.5805,GOOGL,1.0655,105.29,160590,4,-0.89
276.71,280.3,270.0,0.791,NVDA,-2.9609,271.04,422009,3,1.54
90.97,92.275,90.915,0.7099,SONY,0.4507,91.38,2090,0,0.0
5.98,6.045,5.88,0.5018,SOFI,-2.6316,5.92,91963,3,-0.18
166.165,169.55,160.56,1.261,TSLA,-9.7458,162.99,892487,8,-6.91
139.91,141.4299,140.17,0.5739,JPM,-0.2903,140.81,82975,-1,-1.1
