low,symbol,relvolume,open,high,percentchange,price,watchers,hourchange,sentiment
126.47,IBM,1.0705,126.47,130.255,3.2086,129.31,51334,-2,3.72
95.425,AMD,0.8904,98.02,98.93,-1.368,96.61,456277,1,-2.21
201.37,META,0.4942,204.81,205.86,-1.5388,202.84,512180,1,-0.25
86.33,SONY,1.0594,87.12,87.38,-1.0168,86.64,2080,0,0.0
97.08,AMZN,0.5885,99.07,99.335,-0.0917,98.04,587194,-3,-0.67
126.29,JPM,1.2406,126.79,129.38,2.8661,128.49,82436,4,-2.07
455.23,NOC,0.3979,459.09,459.96,0.659,458.25,8013,0,0.0
7.57,CVNA,0.2612,8.35,8.445,-6.9597,7.62,23415,-4,-0.55
157.87,AAPL,0.6029,159.94,160.77,-1.2293,158.28,876589,5,-0.45
4.3,AMC,0.5515,4.51,4.58,1.7897,4.55,411961,-2,-0.24
118.14,EA,0.6373,118.9,119.4,-0.3276,118.64,20715,-2,-5.45
191.61,ENPH,0.5969,199.36,200.21,-0.0816,195.83,37291,-1,-0.09
189.94,TSLA,0.6504,194.415,197.39,0.7353,191.81,889471,-3,-0.67
101.9273,GOOGL,0.6543,104.615,104.76,-2.8263,102.46,159782,-5,-0.54
29.08,INTC,0.6526,29.37,29.73,-0.6131,29.18,130885,-2,0.92
263.6501,NVDA,0.6791,268.37,269.94,-0.9261,265.31,420369,7,-0.97
5.73,SOFI,0.5937,5.82,5.88,0.3484,5.76,91736,1,0.16
275.52,MSFT,0.6882,280.5,281.4589,-1.4934,276.38,442434,9,-0.32
