relvolume,percentchange,price,open,low,high,symbol,watchers,hourchange,sentiment
0.6614,-0.3711,287.23,286.52,283.95,288.27,MSFT,442836,6,-0.06
0.5014,0.7399,132.06,130.97,130.77,132.61,IBM,51354,0,2.17
0.5851,0.7472,121.35,120.14,119.6,121.65,EA,20708,0,8.33
0.9487,-6.1168,194.77,199.91,192.2,202.6897,TSLA,890366,11,-0.86
0.5014,0.5332,213.07,208.84,208.2001,213.4861,META,512473,13,1.8
0.4395,1.6179,469.19,463.3,462.65,471.55,NOC,8034,0,0.0
0.6998,0.7702,166.17,164.27,164.27,166.29,AAPL,877087,4,1.71
0.7684,-3.6523,202.6,213.98,201.6293,215.8856,ENPH,37373,0,1.41
0.5293,-0.852,102.41,102.3,101.43,103.29,AMZN,587689,3,0.93
0.4915,-5.1073,9.29,9.64,9.085,10.16,CVNA,23358,0,-0.11
0.7543,-1.4794,96.56,96.695,94.81,96.79,AMD,456499,-4,-0.82
0.5137,0.6073,104.36,102.39,102.11,104.53,GOOGL,160020,3,2.83
0.5897,-0.1151,130.16,129.91,129.41,131.44,JPM,82515,0,2.75
0.736,0.6768,279.65,275.09,273.36,280.0,NVDA,420848,3,1.19
1.0137,0.7501,91.33,90.41,90.41,91.38,SONY,2088,0,0.0
0.8172,-0.659,6.03,6.14,5.94,6.275,SOFI,91843,-1,-1.09
0.4861,1.996,5.11,4.99,4.94,5.145,AMC,412592,56,0.17
1.0724,0.6734,32.89,32.94,32.54,33.56,INTC,131144,0,0.52
