relvolume,percentchange,price,high,low,open,symbol,watchers,hourchange,sentiment
1.0594,-1.0168,86.64,87.38,86.33,87.12,SONY,2080,0,0.0
1.2406,2.8661,128.49,129.38,126.29,126.79,JPM,82438,0,-1.43
0.8904,-1.368,96.61,98.93,95.425,98.02,AMD,456283,0,-2.23
1.0705,3.2086,129.31,130.255,126.47,126.47,IBM,51335,0,4.09
0.4942,-1.5388,202.84,205.86,201.37,204.81,META,512187,2,-0.91
0.3979,0.659,458.25,459.96,455.23,459.09,NOC,8013,0,0.0
0.6029,-1.2293,158.28,160.77,157.87,159.94,AAPL,876596,2,-0.86
0.5885,-0.0917,98.04,99.335,97.08,99.07,AMZN,587204,5,-0.37
0.2612,-6.9597,7.62,8.445,7.57,8.35,CVNA,23411,0,-0.62
0.5515,1.7897,4.55,4.58,4.3,4.51,AMC,411960,1,-0.63
0.5969,-0.0816,195.83,200.21,191.61,199.36,ENPH,37294,2,-0.21
0.6373,-0.3276,118.64,119.4,118.14,118.9,EA,20715,0,-5.45
0.6504,0.7353,191.81,197.39,189.94,194.415,TSLA,889486,8,-0.82
0.6543,-2.8263,102.46,104.76,101.9273,104.615,GOOGL,159780,0,-1.16
0.6526,-0.6131,29.18,29.73,29.08,29.37,INTC,130884,0,0.97
0.6882,-1.4934,276.38,281.4589,275.52,280.5,MSFT,442443,4,-0.58
0.6791,-0.9261,265.31,269.94,263.6501,268.37,NVDA,420367,0,-1.01
0.5937,0.3484,5.76,5.88,5.73,5.82,SOFI,91739,2,0.42
