price,high,percentchange,open,low,relvolume,symbol,watchers,hourchange,sentiment
197.58,197.99,7.8199,188.28,188.04,0.8096,TSLA,888994,3,-0.94
104.92,105.0996,3.6554,101.25,101.22,0.949,GOOGL,159625,1,-2.26
4.41,4.4458,3.2787,4.33,4.2115,0.4458,AMC,411794,19,2.01
7.93,8.09,12.1641,7.19,7.18,0.3545,CVNA,23282,-2,0.69
100.61,100.84,2.968,98.14,98.0,0.7329,AMZN,586871,1,1.31
89.37,89.7,1.0744,89.08,88.71,0.8793,SONY,2080,0,0.0
28.46,29.165,-2.4005,29.0,27.975,1.1245,INTC,130851,0,0.66
202.16,203.515,2.1991,203.2,197.96,0.9155,META,511818,2,1.37
207.63,209.33,7.8541,196.93,195.44,1.1827,ENPH,37227,1,2.66
273.78,274.95,0.5694,274.88,269.53,0.8582,MSFT,442017,2,0.4
5.57,5.6,6.705,5.35,5.3243,0.733,SOFI,91600,1,0.48
159.28,159.4,1.1944,157.32,156.54,0.8214,AAPL,876153,5,1.78
95.93,99.46,-0.909,97.0,93.64,1.4062,AMD,455985,-1,-2.0
261.99,263.91,1.1544,261.8,253.82,1.0443,NVDA,419570,3,0.97
130.55,131.73,2.6821,130.59,130.19,1.1569,JPM,82255,2,-0.04
126.57,127.15,0.5002,126.9,125.66,0.5415,IBM,51324,0,6.41
449.98,454.66,0.1603,453.79,447.07,0.472,NOC,8009,0,-9.09
114.94,115.15,1.2509,113.11,113.11,0.7754,EA,20730,0,-8.33
