percentchange,low,high,relvolume,price,open,symbol,watchers,hourchange,sentiment
2.6821,130.19,131.73,1.1569,130.55,130.59,JPM,82253,1,0.68
-0.909,93.64,99.46,1.4062,95.93,97.0,AMD,455987,3,-1.4
1.1944,156.54,159.4,0.8214,159.28,157.32,AAPL,876129,9,1.72
0.1603,447.07,454.66,0.472,449.98,453.79,NOC,8009,0,0.0
0.5002,125.66,127.15,0.5415,126.57,126.9,IBM,51324,0,6.41
1.1544,253.82,263.91,1.0443,261.99,261.8,NVDA,419549,9,0.94
1.2509,113.11,115.15,0.7754,114.94,113.11,EA,20730,0,-8.33
7.8199,188.04,197.99,0.8096,197.58,188.28,TSLA,888977,14,-0.27
3.6554,101.22,105.0996,0.949,104.92,101.25,GOOGL,159621,4,-1.74
3.2787,4.2115,4.445,0.4458,4.41,4.33,AMC,411745,2,1.38
2.968,98.0,100.84,0.7329,100.61,98.14,AMZN,586865,4,1.47
12.1641,7.18,8.09,0.3545,7.93,7.19,CVNA,23284,1,0.66
1.0744,88.71,89.7,0.8793,89.37,89.08,SONY,2079,0,0.0
-2.4005,27.975,29.165,1.1245,28.46,29.0,INTC,130845,1,1.19
7.8541,195.44,209.33,1.1827,207.63,196.93,ENPH,37224,4,3.07
6.705,5.3243,5.6,0.733,5.57,5.35,SOFI,91595,2,0.08
0.5694,269.53,274.95,0.8582,273.78,274.88,MSFT,442006,8,0.7
2.1991,197.96,203.515,0.9155,202.16,203.2,META,511809,1,1.98
