open,price,symbol,high,relvolume,low,percentchange,watchers,hourchange,sentiment
198.26,204.93,META,205.76,1.4445,196.09,3.6308,511572,3,1.87
122.96,124.7,IBM,124.82,1.2179,121.92,1.1518,51321,0,8.97
180.365,184.13,TSLA,185.81,0.6387,178.84,2.0393,888561,2,3.76
265.205,276.2,MSFT,276.5,1.4833,263.28,4.0536,441646,5,5.72
204.92,201.1,ENPH,205.58,0.7833,198.28,-2.2648,36993,1,-0.79
89.72,96.6,AMD,96.69,1.9766,89.02,7.7163,455747,8,5.51
84.51,86.39,SONY,86.47,1.0857,84.21,3.1646,2078,0,-13.33
5.3501,5.45,SOFI,5.54,0.6438,5.28,0.7394,91533,4,0.98
28.39,30.18,INTC,30.27,1.5477,28.4,6.2302,130776,-2,5.91
4.22,4.39,AMC,4.65,0.764,4.06,4.2755,411748,1,0.41
111.39,113.53,EA,113.79,0.7185,111.39,1.9303,20735,0,-8.33
6.92,7.41,CVNA,7.585,0.4207,6.63,5.1064,23316,-2,0.71
95.75,100.04,AMZN,100.99,1.0602,95.61,3.9917,586490,9,4.08
96.2,100.32,GOOGL,101.18,1.5267,95.5,4.3804,159481,3,1.64
128.01,130.75,JPM,131.95,1.8493,126.02,1.9414,81983,0,3.57
449.11,450.15,NOC,455.97,0.8285,448.0,0.2785,7993,0,5.68
240.27,255.41,NVDA,255.88,1.1226,238.94,5.4193,419032,3,6.78
152.16,155.85,AAPL,156.42,0.9062,151.64,1.8694,875742,2,3.84
