low,percentchange,price,relvolume,high,open,symbol,watchers,hourchange,sentiment
28.1,-1.1595,28.13,0.735,29.12,28.48,INTC,130858,-3,-4.99
95.645,1.72,97.58,1.7963,101.7,95.65,AMD,456049,9,-2.41
103.33,-1.4773,103.37,1.0266,106.59,104.27,GOOGL,159661,0,-5.13
98.61,-1.8984,98.7,0.7426,102.1,100.45,AMZN,586921,7,-0.5
8.4,6.3052,8.43,1.7855,10.25,10.15,CVNA,23434,-56,8.83
87.44,-2.1596,87.44,0.9838,89.0699,88.91,SONY,2080,-1,0.0
202.0,-2.6393,202.15,0.8075,211.22,209.65,ENPH,37244,1,-0.18
190.95,-3.2544,191.15,0.7976,200.66,199.3,TSLA,889103,-1,-0.55
199.67,-1.1624,199.81,0.8014,207.37,202.5,META,511872,4,2.65
262.37,1.0268,264.68,1.5517,275.89,264.25,NVDA,419778,12,0.84
272.22,-0.5442,272.29,0.9473,281.04,273.4,MSFT,442092,-3,1.94
443.085,-1.4178,443.6,0.5627,452.4,450.22,NOC,8008,0,-18.94
124.01,-1.991,124.05,0.5477,127.215,127.0,IBM,51324,1,16.67
4.31,-1.5873,4.34,0.8468,4.73,4.73,AMC,411912,-4,4.07
127.0843,-2.5814,127.18,1.1652,130.655,130.56,JPM,82275,4,0.56
157.81,-0.9103,157.83,0.893,162.14,159.3,AAPL,876235,4,1.72
113.14,-1.5486,113.16,0.8082,115.1,114.29,EA,20724,0,25.0
5.54,-0.1795,5.56,1.6018,6.03,5.79,SOFI,91660,2,2.96
