relvolume,open,percentchange,high,symbol,low,price,watchers,hourchange,sentiment
0.6882,280.5,-1.4934,281.4589,MSFT,275.52,276.38,442445,2,-0.71
0.6373,118.9,-0.3276,119.4,EA,118.14,118.64,20715,0,-5.45
0.6791,268.37,-0.9261,269.94,NVDA,263.6501,265.31,420376,9,-0.96
0.5937,5.82,0.3484,5.88,SOFI,5.73,5.76,91739,0,0.49
1.0594,87.12,-1.0168,87.38,SONY,86.33,86.64,2080,0,0.0
1.0705,126.47,3.2086,130.255,IBM,126.47,129.31,51334,-1,4.09
1.2406,126.79,2.8661,129.38,JPM,126.29,128.49,82439,1,-0.63
0.8904,98.02,-1.368,98.93,AMD,95.425,96.61,456283,0,-2.2
0.4942,204.81,-1.5388,205.86,META,201.37,202.84,512187,0,-1.09
0.3979,459.09,0.659,459.96,NOC,455.23,458.25,8012,-1,0.0
0.6029,159.94,-1.2293,160.77,AAPL,157.87,158.28,876599,3,-1.03
0.5885,99.07,-0.0917,99.335,AMZN,97.08,98.04,587206,2,-0.48
0.2612,8.35,-6.9597,8.445,CVNA,7.57,7.62,23412,1,-0.26
0.5515,4.51,1.7897,4.58,AMC,4.3,4.55,411960,0,-0.8
0.5969,199.36,-0.0816,200.21,ENPH,191.61,195.83,37294,0,-0.19
0.6543,104.615,-2.8263,104.76,GOOGL,101.9273,102.46,159785,5,-1.37
0.6504,194.415,0.7353,197.39,TSLA,189.94,191.81,889486,0,-0.73
0.6526,29.37,-0.6131,29.73,INTC,29.08,29.18,130884,0,0.75
