high,percentchange,relvolume,price,low,open,symbol,watchers,hourchange,sentiment
29.33,0.377,0.6633,29.29,28.63,29.075,INTC,130890,-1,-1.2
7.72,-3.4121,0.235,7.36,7.22,7.57,CVNA,23380,2,0.16
102.4,-1.3957,0.707,101.03,99.7401,102.44,GOOGL,159815,0,-4.78
196.515,-1.1796,0.3801,193.52,190.624,196.0,ENPH,37300,0,-2.57
129.66,0.0232,0.4651,129.34,128.8,129.18,IBM,51347,5,1.62
276.13,-0.4161,0.5713,275.23,272.05,275.79,MSFT,442485,0,-2.16
158.1277,-0.398,0.5555,157.65,155.98,157.97,AAPL,876655,2,-2.81
96.93,-2.1219,0.907,94.56,92.87,96.77,AMD,456316,1,-0.35
129.3417,0.3035,0.7437,128.88,127.75,128.71,JPM,82446,0,-4.76
461.5,0.1637,0.3387,459.0,457.59,458.31,NOC,8020,2,0.0
118.4425,-0.5226,0.5197,118.02,117.38,118.085,EA,20714,0,4.44
265.13,-0.4561,0.6755,264.1,258.5,264.47,NVDA,420428,3,-1.21
201.03,-1.0649,0.535,200.68,197.9,200.15,META,512229,1,-3.87
192.35,-1.3659,0.5363,189.19,185.43,192.0,TSLA,889584,0,-3.17
86.6682,-0.9464,0.8063,85.82,85.74,86.11,SONY,2081,0,0.0
98.44,-0.816,0.4953,97.24,96.29,98.11,AMZN,587289,3,-1.74
5.5,13.1868,2.4732,5.15,4.46,4.51,AMC,412308,24,1.24
5.79,-2.9514,0.5751,5.59,5.51,5.74,SOFI,91751,-2,-0.12
