relvolume,open,low,percentchange,symbol,price,high,watchers,hourchange,sentiment
0.6526,29.37,29.08,-0.6131,INTC,29.18,29.73,130885,-2,0.92
0.6882,280.5,275.52,-1.4934,MSFT,276.38,281.4589,442434,9,-0.32
0.5937,5.82,5.73,0.3484,SOFI,5.76,5.88,91736,1,0.16
0.6791,268.37,263.6501,-0.9261,NVDA,265.31,269.94,420369,7,-0.97
0.8904,98.02,95.425,-1.368,AMD,96.61,98.93,456277,1,-2.21
1.0705,126.47,126.47,3.2086,IBM,129.31,130.255,51334,-2,3.72
0.4942,204.81,201.37,-1.5388,META,202.84,205.86,512180,1,-0.25
1.0594,87.12,86.33,-1.0168,SONY,86.64,87.38,2080,0,0.0
0.5885,99.07,97.08,-0.0917,AMZN,98.04,99.335,587194,-3,-0.67
1.2406,126.79,126.29,2.8661,JPM,128.49,129.38,82436,4,-2.07
0.2612,8.35,7.57,-6.9597,CVNA,7.62,8.445,23415,-4,-0.55
0.6029,159.94,157.87,-1.2293,AAPL,158.28,160.77,876589,5,-0.45
0.3979,459.09,455.23,0.659,NOC,458.25,459.96,8013,0,0.0
0.5515,4.51,4.3,1.7897,AMC,4.55,4.58,411961,-2,-0.24
0.5969,199.36,191.61,-0.0816,ENPH,195.83,200.21,37291,-1,-0.09
0.6373,118.9,118.14,-0.3276,EA,118.64,119.4,20715,-2,-5.45
0.6504,194.415,189.94,0.7353,TSLA,191.81,197.39,889471,-3,-0.67
0.6543,104.615,101.9273,-2.8263,GOOGL,102.46,104.76,159782,-5,-0.54
