percentchange,high,symbol,open,low,price,relvolume,watchers,hourchange,sentiment
3.6554,105.0996,GOOGL,101.25,101.22,104.92,0.949,159625,1,-2.26
3.2787,4.4458,AMC,4.33,4.2115,4.41,0.4458,411794,19,2.01
12.1641,8.09,CVNA,7.19,7.18,7.93,0.3545,23282,-2,0.69
2.968,100.84,AMZN,98.14,98.0,100.61,0.7329,586871,1,1.31
1.0744,89.7,SONY,89.08,88.71,89.37,0.8793,2080,0,0.0
-2.4005,29.165,INTC,29.0,27.975,28.46,1.1245,130851,0,0.66
7.8541,209.33,ENPH,196.93,195.44,207.63,1.1827,37227,1,2.66
2.1991,203.515,META,203.2,197.96,202.16,0.9155,511818,2,1.37
0.5694,274.95,MSFT,274.88,269.53,273.78,0.8582,442017,2,0.4
6.705,5.6,SOFI,5.35,5.3243,5.57,0.733,91600,1,0.48
1.1944,159.4,AAPL,157.32,156.54,159.28,0.8214,876153,5,1.78
-0.909,99.46,AMD,97.0,93.64,95.93,1.4062,455985,-1,-2.0
1.1544,263.91,NVDA,261.8,253.82,261.99,1.0443,419570,3,0.97
0.5002,127.15,IBM,126.9,125.66,126.57,0.5415,51324,0,6.41
0.1603,454.66,NOC,453.79,447.07,449.98,0.472,8009,0,-9.09
2.6821,131.73,JPM,130.59,130.19,130.55,1.1569,82255,2,-0.04
1.2509,115.15,EA,113.11,113.11,114.94,0.7754,20730,0,-8.33
7.8199,197.99,TSLA,188.28,188.04,197.58,0.8096,888994,3,-0.94
