symbol,low,open,high,price,percentchange,relvolume,watchers,hourchange,sentiment
GOOGL,103.8684,103.91,106.25,105.29,1.0655,0.5805,160590,4,-0.89
NVDA,270.0,276.71,280.3,271.04,-2.9609,0.791,422009,3,1.54
SONY,90.915,90.97,92.275,91.38,0.4507,0.7099,2090,0,0.0
SOFI,5.88,5.98,6.045,5.92,-2.6316,0.5018,91963,3,-0.18
TSLA,160.56,166.165,169.55,162.99,-9.7458,1.261,892487,8,-6.91
JPM,140.17,139.91,141.4299,140.81,-0.2903,0.5739,82975,-1,-1.1
NOC,472.07,478.4,478.4,474.18,-0.6058,0.4428,8041,0,8.57
MSFT,285.08,285.25,289.03,286.11,-0.8112,0.5981,443701,7,-2.36
AAPL,165.56,166.09,167.87,166.65,-0.5846,0.6838,878278,0,-2.72
IBM,125.84,130.15,130.98,126.36,0.0317,1.7117,51479,-2,4.36
META,212.77,213.48,216.75,213.07,-1.2193,0.4419,512995,4,-2.62
EA,128.15,128.28,129.56,128.8,0.4837,0.4949,20703,0,0.0
ENPH,219.31,220.5,226.26,224.79,0.2319,0.5575,37479,1,1.5
INTC,30.71,30.76,31.25,30.86,-0.931,0.5128,131293,2,-2.09
AMZN,103.21,103.53,105.24,103.81,-0.4698,0.7877,588835,7,-1.61
AMD,88.75,88.825,91.575,90.11,0.189,0.7047,456925,-7,-1.38
CVNA,7.91,8.3,8.51,8.0,-7.3001,0.3562,23279,0,-6.7
AMC,4.89,5.0,5.02,4.97,-2.549,0.2431,413195,6,0.68
