low,relvolume,high,price,symbol,open,percentchange,watchers,hourchange,sentiment
275.52,0.6882,281.4589,276.38,MSFT,280.5,-1.4934,442449,3,-1.03
118.14,0.6373,119.4,118.64,EA,118.9,-0.3276,20715,0,-5.45
263.6501,0.6791,269.94,265.31,NVDA,268.37,-0.9261,420377,0,-0.87
5.73,0.5937,5.88,5.76,SOFI,5.82,0.3484,91743,4,0.59
86.33,1.0594,87.38,86.64,SONY,87.12,-1.0168,2080,0,0.0
126.47,1.0705,130.255,129.31,IBM,126.47,3.2086,51338,3,4.44
126.29,1.2406,129.38,128.49,JPM,126.79,2.8661,82440,2,-0.14
95.425,0.8904,98.93,96.61,AMD,98.02,-1.368,456285,0,-2.09
201.37,0.4942,205.86,202.84,META,204.81,-1.5388,512189,1,-1.43
455.23,0.3979,459.96,458.25,NOC,459.09,0.659,8012,0,0.0
157.87,0.6029,160.77,158.28,AAPL,159.94,-1.2293,876604,5,-0.91
97.08,0.5885,99.335,98.04,AMZN,99.07,-0.0917,587208,2,-0.82
7.57,0.2612,8.445,7.62,CVNA,8.35,-6.9597,23411,-1,-0.56
4.3,0.5515,4.58,4.55,AMC,4.51,1.7897,411960,0,-0.68
191.61,0.5969,200.21,195.83,ENPH,199.36,-0.0816,37297,2,-0.35
101.9273,0.6543,104.76,102.46,GOOGL,104.615,-2.8263,159786,1,-1.37
189.94,0.6504,197.39,191.81,TSLA,194.415,0.7353,889491,5,-0.67
29.08,0.6526,29.73,29.18,INTC,29.37,-0.6131,130885,0,1.63
