price,open,low,percentchange,high,relvolume,symbol,watchers,hourchange,sentiment
204.93,198.26,196.09,3.6308,205.76,1.4445,META,511572,3,1.87
124.7,122.96,121.92,1.1518,124.82,1.2179,IBM,51321,0,8.97
184.13,180.365,178.84,2.0393,185.81,0.6387,TSLA,888561,2,3.76
276.2,265.205,263.28,4.0536,276.5,1.4833,MSFT,441646,5,5.72
201.1,204.92,198.28,-2.2648,205.58,0.7833,ENPH,36993,1,-0.79
96.6,89.72,89.02,7.7163,96.69,1.9766,AMD,455747,8,5.51
86.39,84.51,84.21,3.1646,86.47,1.0857,SONY,2078,0,-13.33
5.45,5.3501,5.28,0.7394,5.54,0.6438,SOFI,91533,4,0.98
30.18,28.39,28.4,6.2302,30.27,1.5477,INTC,130776,-2,5.91
4.39,4.22,4.06,4.2755,4.65,0.764,AMC,411748,1,0.41
113.53,111.39,111.39,1.9303,113.79,0.7185,EA,20735,0,-8.33
7.41,6.92,6.63,5.1064,7.585,0.4207,CVNA,23316,-2,0.71
100.04,95.75,95.61,3.9917,100.99,1.0602,AMZN,586490,9,4.08
100.32,96.2,95.5,4.3804,101.18,1.5267,GOOGL,159481,3,1.64
130.75,128.01,126.02,1.9414,131.95,1.8493,JPM,81983,0,3.57
450.15,449.11,448.0,0.2785,455.97,0.8285,NOC,7993,0,5.68
255.41,240.27,238.94,5.4193,255.88,1.1226,NVDA,419032,3,6.78
155.85,152.16,151.64,1.8694,156.42,0.9062,AAPL,875742,2,3.84
