high,symbol,percentchange,relvolume,low,price,open,watchers,hourchange,sentiment
209.33,ENPH,7.8541,1.1827,195.44,207.63,196.93,37224,4,3.07
274.95,MSFT,0.5694,0.8582,269.53,273.78,274.88,442006,8,0.7
203.515,META,2.1991,0.9155,197.96,202.16,203.2,511809,1,1.98
5.6,SOFI,6.705,0.733,5.3243,5.57,5.35,91595,2,0.08
454.66,NOC,0.1603,0.472,447.07,449.98,453.79,8009,0,0.0
159.4,AAPL,1.1944,0.8214,156.54,159.28,157.32,876129,9,1.72
131.73,JPM,2.6821,1.1569,130.19,130.55,130.59,82253,1,0.68
99.46,AMD,-0.909,1.4062,93.64,95.93,97.0,455987,3,-1.4
127.15,IBM,0.5002,0.5415,125.66,126.57,126.9,51324,0,6.41
263.91,NVDA,1.1544,1.0443,253.82,261.99,261.8,419549,9,0.94
115.15,EA,1.2509,0.7754,113.11,114.94,113.11,20730,0,-8.33
197.99,TSLA,7.8199,0.8096,188.04,197.58,188.28,888977,14,-0.27
105.0996,GOOGL,3.6554,0.949,101.22,104.92,101.25,159621,4,-1.74
4.4458,AMC,3.2787,0.4458,4.2115,4.41,4.33,411745,2,1.38
100.84,AMZN,2.968,0.7329,98.0,100.61,98.14,586865,4,1.47
8.09,CVNA,12.1641,0.3545,7.18,7.93,7.19,23284,1,0.66
89.7,SONY,1.0744,0.8793,88.71,89.37,89.08,2079,0,0.0
29.165,INTC,-2.4005,1.1245,27.975,28.46,29.0,130845,1,1.19
