relvolume,price,percentchange,symbol,high,open,low,watchers,hourchange,sentiment
0.6882,276.38,-1.4934,MSFT,281.4589,280.5,275.52,442449,3,-1.03
0.6373,118.64,-0.3276,EA,119.4,118.9,118.14,20715,0,-5.45
0.6791,265.31,-0.9261,NVDA,269.94,268.37,263.6501,420377,0,-0.87
0.5937,5.76,0.3484,SOFI,5.88,5.82,5.73,91743,4,0.59
1.0594,86.64,-1.0168,SONY,87.38,87.12,86.33,2080,0,0.0
1.0705,129.31,3.2086,IBM,130.255,126.47,126.47,51338,3,4.44
1.2406,128.49,2.8661,JPM,129.38,126.79,126.29,82440,2,-0.14
0.8904,96.61,-1.368,AMD,98.93,98.02,95.425,456285,0,-2.09
0.4942,202.84,-1.5388,META,205.86,204.81,201.37,512189,1,-1.43
0.3979,458.25,0.659,NOC,459.96,459.09,455.23,8012,0,0.0
0.6029,158.28,-1.2293,AAPL,160.77,159.94,157.87,876604,5,-0.91
0.5885,98.04,-0.0917,AMZN,99.335,99.07,97.08,587208,2,-0.82
0.2612,7.62,-6.9597,CVNA,8.445,8.35,7.57,23411,-1,-0.56
0.5515,4.55,1.7897,AMC,4.58,4.51,4.3,411960,0,-0.68
0.5969,195.83,-0.0816,ENPH,200.21,199.36,191.61,37297,2,-0.35
0.6543,102.46,-2.8263,GOOGL,104.76,104.615,101.9273,159786,1,-1.37
0.6504,191.81,0.7353,TSLA,197.39,194.415,189.94,889491,5,-0.67
0.6526,29.18,-0.6131,INTC,29.73,29.37,29.08,130885,0,1.63
